25m;;in;;;;;out;;;;;;;
meas;n;date_type;row1;sep;dir_in;type_inp;file_in;tipo_org;tipo_mis;udm;descri;note;file_corretto;note_correz
01_SER003_0723_28774_cep_liv;1;STD;1;semicolon;.;mean_3_4;POLLER000000723_20250301_0000_20250320_2400.csv;serbatoio;level;m;SER003 - C.E.P. - Misura livello vasca destra (m);;;
03_SER003_0723_28784_cep_q;3;STD;1;semicolon;.;2q_5_6;POLLER000000723_20250301_0000_20250320_2400.csv;meter;flow;l/s;SER003 - C.E.P. - Portata ingresso vasca (l/s);;;
05_SER004_0729_28774_flavon_liv;5;STD;1;semicolon;.;mean_2_3;POLLER000000729_20250301_0000_20250320_2400.csv;serbatoio;level;m;SER004 - Flavon - Misura livello vasca destra (m);;;
07_SER004_0729_28784_flavon_q;7;STD;1;semicolon;.;2q_4_5;POLLER000000729_20250301_0000_20250320_2400.csv;meter;flow;l/s;SER004 - Flavon - Portata ingresso vasca (l/s);;;
09_SER007_0747_28774_s_gio_liv;9;STD;1;semicolon;.;mean_3_4;POLLER000000747_20250301_0000_20250320_2400.csv;serbatoio;level;m;SER007 - San Giorgio - Misura livello vasca destra (m);;;
11_SER007_0747_28784_s_gio_q;11;STD;1;semicolon;.;simple_5;POLLER000000747_20250301_0000_20250320_2400.csv;meter;flow;l/s;SER007 - San Giorgio - Portata ingresso vasca (l/s);;;
12_SER007_0747_28792_s_gio_guncina_q;12;STD;1;semicolon;.;simple_6;POLLER000000747_20250301_0000_20250320_2400.csv;meter;flow;l/s;SER007 - San Giorgio - Portata uscita Guncina (l/s);;;
13_SER007_0747_28794_s_gio_refenstein_q;13;STD;1;semicolon;.;simple_7;POLLER000000747_20250301_0000_20250320_2400.csv;meter;flow;l/s;SER007 - San Giorgio - Portata uscita Refenstein (l/s);;;
14_SER002_0756_28772_s_maurizio_liv;14;STD;1;semicolon;.;simple_3;POLLER000000756_20250301_0000_20250320_2400.csv;serbatoio;level;m;SER002 - San Maurizio - Misura livello vasca sinistra (m);;;
15_SER002_0756_28784_s_maurizio_q_in;15;STD;1;semicolon;.;simple_4;POLLER000000756_20250301_0000_20250320_2400.csv;meter;flow;l/s;SER002 - San Maurizio - Portata ingresso vasca (l/s);;;
16_SER002_0756_28786_s_maurizio_q_out;16;STD;1;semicolon;.;simple_5;POLLER000000756_20250301_0000_20250320_2400.csv;meter;flow;l/s;SER002 - San Maurizio - Portata uscita vasca (l/s);;;
17_SER008_0760_28938_s_pietro_nuovo_liv;17;STD;1;semicolon;.;mean_2_3;POLLER000000760_20250301_0000_20250320_2400.csv;serbatoio;level;m;SER008/11-RIL002 - S Pietro - Misura livello serbatoio Nuovo DX e SX (m);;;
19_SER008_0760_28778_s_pietro_alto_liv;19;STD;1;semicolon;.;simple_4;POLLER000000760_20250301_0000_20250320_2400.csv;serbatoio;level;m;SER008/11-RIL002 - S Pietro - Misura livello serbatoio S. Pietro Alto SX (m);;;
20_SER008_0760_28776_s_pietro_vecchio_liv;20;STD;1;semicolon;.;mean_5_6;POLLER000000760_20250301_0000_20250320_2400.csv;serbatoio;level;m;SER008/11-RIL002 - S Pietro - Misura livello serbatoio Vecchio DX e SX (m);;;
22_SER008_0760_28968_s_pietro_citta_vecchia_q;22;STD;1;semicolon;.;simple_3;POLLER000000760_20250301_0000_20250320_2400.csv;meter;flow;l/s;SER008/11-RIL002 - S Pietro - Portata uscita Citta Vecchia (l/s);;;
23_SER008_0760_28966_s_pietro_prato_volpe_q;23;STD;1;semicolon;.;simple_6;POLLER000000760_20250301_0000_20250320_2400.csv;meter;flow;l/s;SER008/11-RIL002 - S Pietro - Portata uscita Prato Volpe (l/s);;;
24_SER008_0760_28970_s_pietro_q;24;STD;1;semicolon;.;2q_4_5;POLLER000000760_20250301_0000_20250320_2400.csv;meter;flow;l/s;SER008/11-RIL002 - S Pietro - Portata uscita serb. S. Pietro (l/s);;;
26_SER001_0761_28772_campegno_liv;26;STD;1;semicolon;.;simple_2;POLLER000000761_20250301_0000_20250320_2400.csv;serbatoio;level;m;SER001 - Campegno - Misura livello vasca campegno (m);;;
27_SER001_0761_28774_campegno_q_ingresso;27;STD;1;semicolon;.;simple_3;POLLER000000761_20250301_0000_20250320_2400.csv;meter;flow;l/s;SER001 - Campegno - Misura portata ingresso Campegno (l/s);;;
28_SER001_0761_28778_campegno_cardano_q;28;STD;1;semicolon;.;simple_4;POLLER000000761_20250301_0000_20250320_2400.csv;meter;flow;l/s;SER001 - Campegno - Misura portata uscita Cardano (l/s);;;
29_SER001_0761_28776_campegno_piani_q;29;STD;1;semicolon;.;simple_5;POLLER000000761_20250301_0000_20250320_2400.csv;meter;flow;l/s;SER001 - Campegno - Misura portata uscita Piani (l/s);;;
30_SER008_0278_0_SEAB__26000009_s_pietro_sup_serb_sx_liv;30;STD;1;semicolon;.;simple_2;VIRTUAL00000278_20250301_0000_20250320_2400.csv;serbatoio;level;m;SER009 - San Pietro Superiore - Livello serbatoio SX (m);;;
31_POZ001_0727_28772_aeroporto_falda_liv;31;STD;1;semicolon;.;simple_2;POLLER000000727_20250301_0000_20250320_2400.csv;pozzo;level;m;POZ001 - Aeroporto - Misura livello falda (m);;;
32_POZ001_0727_28942_aeroporto_q;32;STD;1;semicolon;.;simple_3;POLLER000000727_20250301_0000_20250320_2400.csv;meter;flow;l/s;POZ001 - Aeroporto - Misura portata rete modbus (l/s);;;
33_POZ001_0727_28774_aeroporto_rete_p;33;STD;1;semicolon;.;simple_4;POLLER000000727_20250301_0000_20250320_2400.csv;nodo;pressure;bar;POZ001 - Aeroporto - Misura pressione rete (bar);;;
34_POZ003_0728_28772_tambosi_falda_liv;34;STD;1;semicolon;.;simple_3;POLLER000000728_20250301_0000_20250320_2400.csv;pozzo;level;m;POZ003/RIL001 - Tambosi - Misura livello falda (m);;;
35_POZ003_0728_28950_tambosi_q;35;STD;1;semicolon;.;simple_4;POLLER000000728_20250301_0000_20250320_2400.csv;meter;flow;l/s;POZ003/RIL001 - Tambosi - Misura portata rete modbus (l/s);;;
36_POZ003_0728_28776_tambosi_rete_p;36;STD;1;semicolon;.;simple_5;POLLER000000728_20250301_0000_20250320_2400.csv;nodo;pressure;bar;POZ003/RIL001 - Tambosi - Misura pressione rete (bar);;;
37_POZ002_0731_28772_parma_falda_liv;37;STD;1;semicolon;.;simple_5;POLLER000000731_20250301_0000_20250320_2400.csv;pozzo;level;m;POZ002 - Parma - Misura livello falda (m);;;
38_POZ002_0731_28942_parma_q;38;STD;1;semicolon;.;simple_4;POLLER000000731_20250301_0000_20250320_2400.csv;meter;flow;l/s;POZ002 - Parma - Misura portata rete modbus (l/s);;;
39_POZ002_0731_28774_parma_rete_p;39;STD;1;semicolon;.;simple_3;POLLER000000731_20250301_0000_20250320_2400.csv;nodo;pressure;bar;POZ002 - Parma - Misura pressione rete (bar);;;
40_POZ008_0732_28772_macello_centr_ovest_falda_liv;40;STD;1;semicolon;.;simple_3;POLLER000000732_20250301_0000_20250320_2400.csv;pozzo;level;m;POZ008/10 - Macello - Misura livello falda Centrale (m);;;
41_POZ008_0732_28778_macello_foppa_est_falda_liv;41;STD;1;semicolon;.;simple_4;POLLER000000732_20250301_0000_20250320_2400.csv;pozzo;level;m;POZ008/10 - Macello - Misura livello falda Foppa (m);;;
42_POZ008_0732_28948_macello_q;42;STD;1;semicolon;.;simple_5;POLLER000000732_20250301_0000_20250320_2400.csv;meter;flow;l/s;POZ008/10 - Macello - Misura portata rete modbus (l/s);;;
43_POZ008_0732_28774_macello_rete_p;43;STD;1;semicolon;.;simple_6;POLLER000000732_20250301_0000_20250320_2400.csv;nodo;pressure;bar;POZ008/10 - Macello - Misura pressione rete (bar);;;
44_POZ008_0735_28772_battisti_falda_liv;44;STD;1;semicolon;.;simple_5;POLLER000000735_20250301_0000_20250320_2400.csv;pozzo;level;m;POZ005 - Battisti - Misura livello falda (m);;;
45_POZ008_0735_28942_battisti_q;45;STD;1;semicolon;.;simple_4;POLLER000000735_20250301_0000_20250320_2400.csv;meter;flow;l/s;POZ005 - Battisti - Misura portata rete modbus (l/s);;;
46_POZ008_0735_28774_battisti_rete_p;46;STD;1;semicolon;.;simple_3;POLLER000000735_20250301_0000_20250320_2400.csv;nodo;pressure;bar;POZ005 - Battisti - Misura pressione rete (bar);;;
47_POZ009_0736_28772_petrarca_falda_liv;47;STD;1;semicolon;.;simple_5;POLLER000000736_20250301_0000_20250320_2400.csv;pozzo;level;m;POZ009 - Petrarca - Misura livello falda (m);;;
48_POZ009_0736_28942_petrarca_q;48;STD;1;semicolon;.;simple_4;POLLER000000736_20250301_0000_20250320_2400.csv;meter;flow;l/s;POZ009 - Petrarca - Misura portata rete modbus (l/s);;;
49_POZ009_0736_28774_petrarca_rete_p;49;STD;1;semicolon;.;simple_3;POLLER000000736_20250301_0000_20250320_2400.csv;nodo;pressure;bar;POZ009 - Petrarca - Misura pressione rete (bar);;;
50_POZ006_0737_28772_cardano_falda_liv;50;STD;1;semicolon;.;simple_2;POLLER000000737_20250301_0000_20250320_2400.csv;pozzo;level;m;POZ006 - Cardano - Misura livello falda (m);;;
51_POZ006_0737_28944_cardano_q;51;STD;1;semicolon;.;simple_3;POLLER000000737_20250301_0000_20250320_2400.csv;meter;flow;l/s;POZ006 - Cardano - Misura portata rete modbus (l/s);;;
52_POZ006_0737_28774_cardano_rete_p;52;STD;1;semicolon;.;simple_4;POLLER000000737_20250301_0000_20250320_2400.csv;nodo;pressure;bar;POZ006 - Cardano - Misura pressione rete (bar);;;
53_POZ007_0738_28772_mazzini_falda_liv;53;STD;1;semicolon;.;simple_5;POLLER000000738_20250301_0000_20250320_2400.csv;pozzo;level;m;POZ007 - Mazzini - Misura livello falda (m);;;
54_POZ007_0738_28942_mazzini_q;54;STD;1;semicolon;.;simple_4;POLLER000000738_20250301_0000_20250320_2400.csv;meter;flow;l/s;POZ007 - Mazzini - Misura portata rete modbus (l/s);;;
55_POZ007_0738_28774_mazzini_rete_p;55;STD;1;semicolon;.;simple_3;POLLER000000738_20250301_0000_20250320_2400.csv;nodo;pressure;bar;POZ007 - Mazzini - Misura pressione rete (bar);;;
56_POZ004_0743_28932_ronco_1_sud_asilo_falda_liv;56;STD;1;semicolon;.;simple_8;POLLER000000743_20250301_0000_20250320_2400.csv;pozzo;level;m;POZ004/12/13 - Ronco - Misura livello falda pozzo 1 (m);;;
57_POZ004_0743_28934_ronco_2_ovest_crip_falda_liv;57;STD;1;semicolon;.;simple_9;POLLER000000743_20250301_0000_20250320_2400.csv;pozzo;level;m;POZ004/12/13 - Ronco - Misura livello falda pozzo 2 (m);;;
58_POZ004_0743_28936_ronco_3_nord_centr_falda_liv;58;STD;1;semicolon;.;simple_10;POLLER000000743_20250301_0000_20250320_2400.csv;pozzo;level;m;POZ004/12/13 - Ronco - Misura livello falda pozzo 3 (m);;;
59_POZ004_0743_28940_ronco_1_sud_asilo_q;59;STD;1;semicolon;.;simple_5;POLLER000000743_20250301_0000_20250320_2400.csv;meter;flow;l/s;POZ004/12/13 - Ronco - Misura portata pozzo 1 (l/s);;;
60_POZ004_0743_28942_ronco_2_ovest_crip_q;60;STD;1;semicolon;.;simple_6;POLLER000000743_20250301_0000_20250320_2400.csv;meter;flow;l/s;POZ004/12/13 - Ronco - Misura portata pozzo 2 (l/s);;;
61_POZ004_0743_28944_ronco_3_nord_centr_q;61;STD;1;semicolon;.;simple_7;POLLER000000743_20250301_0000_20250320_2400.csv;meter;flow;l/s;POZ004/12/13 - Ronco - Misura portata pozzo 3 (l/s);;;
62_POZ004_0743_28818_ronco_q_totale;62;STD;1;semicolon;.;simple_4;POLLER000000743_20250301_0000_20250320_2400.csv;meter;flow;l/s;POZ004/12/13 - Ronco - Misura portata Ronco Totale (l/s);;;
