Date-time;Type;Metadato grafico storico;SER003 - C.E.P. - Misura livello vasca sinistra (m);SER003 - C.E.P. - Misura livello vasca destra (m);SER003 - C.E.P. - Portata ingresso vasca (l/s);SER003 - C.E.P. - Portata uscita vasca (l/s)
2025/03/01 00:00:00;A;;2,93;2,95;0,0;6,8
2025/03/01 00:00:01;P;;;;;6,8
2025/03/01 00:05:00;A;;;;;6,0
2025/03/01 00:15:00;A;;2,90;2,91;0,0;5,4
2025/03/01 00:15:01;P;;;;;5,4
2025/03/01 00:25:00;A;;;;;4,6
2025/03/01 00:30:00;P;;2,86;2,87;0,0;4,7
2025/03/01 00:35:00;A;;;;;5,4
2025/03/01 00:45:00;P;;2,83;2,84;0,0;5,2
2025/03/01 01:00:00;P;;2,80;2,81;0,0;4,8
2025/03/01 01:05:00;A;;;;;5,7
2025/03/01 01:10:00;A;;;;;4,3
2025/03/01 01:15:00;A;;2,77;2,77;0,0;5,1
2025/03/01 01:15:01;P;;;;;5,1
2025/03/01 01:25:00;A;;;;;4,5
2025/03/01 01:30:00;P;;2,73;2,74;0,0;4,6
2025/03/01 01:45:00;P;;2,70;2,71;0,0;4,7
2025/03/01 02:00:00;P;;2,67;2,68;0,0;4,3
2025/03/01 02:15:00;P;;2,65;2,65;0,0;4,2
2025/03/01 02:30:00;A;;2,61;2,62;0,0;4,7
2025/03/01 02:30:01;P;;;;;4,7
2025/03/01 02:40:00;A;;;;;4,2
2025/03/01 02:45:00;P;;2,58;2,59;0,0;4,3
2025/03/01 03:00:00;P;;2,55;2,56;0,0;4,4
2025/03/01 03:15:00;P;;2,53;2,53;0,0;4,6
2025/03/01 03:30:00;A;;2,50;2,50;0,0;4,1
2025/03/01 03:30:01;P;;;;;4,1
2025/03/01 03:40:00;A;;;;;4,7
2025/03/01 03:45:00;P;;2,47;2,48;0,0;4,4
2025/03/01 04:00:00;P;;2,43;2,44;0,0;4,5
2025/03/01 04:15:00;P;;2,40;2,41;0,0;4,8
2025/03/01 04:30:00;P;;2,37;2,39;0,0;4,7
2025/03/01 04:45:00;P;;2,34;2,34;0,0;4,7
2025/03/01 04:50:00;A;;;;;5,2
2025/03/01 04:55:00;A;;;;;4,5
2025/03/01 05:00:00;A;;2,30;2,31;0,0;5,0
2025/03/01 05:00:01;P;;;;;5,0
2025/03/01 05:15:00;A;;2,27;2,28;0,0;5,7
2025/03/01 05:15:01;P;;;;;5,7
2025/03/01 05:20:00;A;;;;;5,1
2025/03/01 05:30:00;A;;2,23;2,24;0,0;4,6
2025/03/01 05:30:01;P;;;;;4,6
2025/03/01 05:40:00;A;;;;;5,2
2025/03/01 05:45:00;P;;2,20;2,21;0,0;5,1
2025/03/01 06:00:00;P;;2,16;2,18;0,0;5,1
2025/03/01 06:05:00;A;;;;;5,7
2025/03/01 06:10:00;A;;;;;6,2
2025/03/01 06:15:00;A;;2,13;2,14;0,0;5,0
2025/03/01 06:15:01;P;;;;;5,0
2025/03/01 06:20:00;A;;;;;6,7
2025/03/01 06:25:00;A;;;;;5,4
