Date-time;Type;Metadato grafico storico;POZ003 - Tambosi - Misura pressione rete (bar);POZ003 - Tambosi - Misura portata rete modbus (l/s);Tambosi - K - C.E.P._Portata ingresso (l/s);Tambosi - K - C.E.P._Portata uscita (l/s)
2025/03/01 00:00:00;P;;8,3;38,2;0,00;6,80
2025/03/01 00:00:01;P;;;;;6,80
2025/03/01 00:05:00;P;;;;;6,00
2025/03/01 00:15:00;P;;8,2;36,3;0,00;5,40
2025/03/01 00:15:01;P;;;;;5,40
2025/03/01 00:25:00;P;;;;;4,60
2025/03/01 00:30:00;P;;8,3;35,7;0,00;4,70
2025/03/01 00:35:00;P;;;;;5,40
2025/03/01 00:45:00;P;;8,2;34,0;0,00;5,20
2025/03/01 01:00:00;P;;8,2;33,4;0,00;4,80
2025/03/01 01:05:00;P;;;;;5,70
2025/03/01 01:10:00;P;;;;;4,30
2025/03/01 01:15:00;P;;8,2;32,8;0,00;5,10
2025/03/01 01:15:01;P;;;;;5,10
2025/03/01 01:25:00;P;;;;;4,50
2025/03/01 01:30:00;P;;8,2;32,3;0,00;4,60
2025/03/01 01:45:00;P;;8,2;31,5;0,00;4,70
2025/03/01 02:00:00;P;;8,2;31,8;0,00;4,30
2025/03/01 02:15:00;P;;8,2;31,1;0,00;4,20
2025/03/01 02:30:00;P;;8,2;31,4;0,00;4,70
2025/03/01 02:30:01;P;;;;;4,70
2025/03/01 02:40:00;P;;;;;4,20
2025/03/01 02:45:00;P;;8,3;31,0;0,00;4,30
2025/03/01 03:00:00;P;;8,2;30,1;0,00;4,40
2025/03/01 03:15:00;P;;8,3;30,2;0,00;4,60
2025/03/01 03:30:00;P;;8,2;30,7;0,00;4,10
2025/03/01 03:30:01;P;;;;;4,10
2025/03/01 03:40:00;P;;;;;4,70
2025/03/01 03:45:00;P;;8,2;30,6;0,00;4,40
2025/03/01 04:00:00;A;;8,1;34,9;0,00;4,50
2025/03/01 04:00:01;P;;;34,9;;
2025/03/01 04:15:00;P;;8,2;35,6;0,00;4,80
2025/03/01 04:30:00;P;;8,2;36,0;0,00;4,70
2025/03/01 04:45:00;P;;8,2;36,3;0,00;4,70
2025/03/01 04:50:00;P;;;;;5,20
2025/03/01 04:55:00;P;;;;;4,50
2025/03/01 05:00:00;P;;8,3;36,9;0,00;5,00
2025/03/01 05:00:01;P;;;;;5,00
2025/03/01 05:15:00;P;;8,2;35,9;0,00;5,70
2025/03/01 05:15:01;P;;;;;5,70
2025/03/01 05:20:00;P;;;;;5,10
2025/03/01 05:30:00;P;;8,3;34,7;0,00;4,60
2025/03/01 05:30:01;P;;;;;4,60
2025/03/01 05:40:00;P;;;;;5,20
2025/03/01 05:45:00;P;;8,3;34,9;0,00;5,10
2025/03/01 06:00:00;P;;8,2;35,3;0,00;5,10
2025/03/01 06:05:00;P;;;;;5,70
2025/03/01 06:10:00;P;;;;;6,20
2025/03/01 06:15:00;P;;8,2;32,9;0,00;5,00
2025/03/01 06:15:01;P;;;;;5,00
2025/03/01 06:20:00;P;;;;;6,70
2025/03/01 06:25:00;P;;;;;5,40
2025/03/01 06:30:00;P;;8,2;33,1;0,00;5,60
2025/03/01 06:40:00;P;;;;;6,60
2025/03/01 06:45:00;P;;8,2;34,9;0,00;6,50
2025/03/01 06:50:00;P;;;;;5,60
2025/03/01 06:55:00;P;;;;;7,60
2025/03/01 07:00:00;P;;8,2;36,4;0,00;6,80
2025/03/01 07:00:01;P;;;;;6,80
2025/03/01 07:10:00;A;;;47,7;16,10;8,10
2025/03/01 07:15:00;A;;8,2;58,9;15,50;0,00
2025/03/01 07:15:01;P;;;58,9;15,50;0,00
2025/03/01 07:20:00;P;;;;14,60;
2025/03/01 07:25:00;A;;;62,5;16,00;
2025/03/01 07:30:00;P;;8,2;64,4;16,00;0,00
2025/03/01 07:35:00;P;;;;15,40;
2025/03/01 07:40:00;A;;;67,6;14,60;
2025/03/01 07:45:00;P;;8,2;67,9;15,50;0,00
2025/03/01 07:45:01;P;;;;15,50;
2025/03/01 07:50:00;P;;;;13,20;
2025/03/01 07:55:00;P;;;;13,70;
2025/03/01 08:00:00;A;;8,3;71,7;15,90;0,00
2025/03/01 08:00:01;P;;;71,7;15,90;
2025/03/01 08:05:00;P;;;;15,20;
2025/03/01 08:10:00;P;;;;13,50;
2025/03/01 08:15:00;A;;8,3;77,4;13,70;0,00
2025/03/01 08:15:01;P;;;77,4;;
2025/03/01 08:25:00;P;;;;14,30;
2025/03/01 08:30:00;P;;8,2;77,6;11,40;0,00
2025/03/01 08:30:01;P;;;;11,40;
2025/03/01 08:35:00;P;;;;13,60;
2025/03/01 08:40:00;P;;;;14,50;
2025/03/01 08:45:00;P;;8,3;79,7;12,90;0,00
2025/03/01 08:45:01;P;;;;12,90;
2025/03/01 08:50:00;P;;;;13,90;
2025/03/01 09:00:00;P;;8,2;81,0;13,90;0,00
2025/03/01 09:15:00;P;;8,2;82,6;14,40;0,00
2025/03/01 09:15:01;P;;;;14,40;
2025/03/01 09:20:00;P;;;;13,60;
2025/03/01 09:30:00;P;;8,2;82,3;13,90;0,00
2025/03/01 09:40:00;A;;;79,0;12,40;
2025/03/01 09:45:00;P;;8,2;80,5;13,60;0,00
2025/03/01 09:45:01;P;;;;13,60;
2025/03/01 09:55:00;P;;;;12,90;
2025/03/01 10:00:00;P;;8,2;79,6;13,10;0,00
2025/03/01 10:05:00;P;;;;13,70;
2025/03/01 10:15:00;P;;8,3;79,9;14,40;0,00
2025/03/01 10:15:01;P;;;;14,40;
2025/03/01 10:20:00;A;;;74,1;;
2025/03/01 10:25:00;P;;;;13,20;
2025/03/01 10:30:00;P;;8,2;73,2;13,30;0,00
2025/03/01 10:35:00;P;;;;14,50;
2025/03/01 10:45:00;P;;8,2;72,7;14,60;0,00
2025/03/01 10:55:00;P;;;;13,10;
2025/03/01 11:00:00;P;;8,3;70,4;14,30;0,00
2025/03/01 11:00:01;P;;;;14,30;
2025/03/01 11:05:00;A;;;47,5;0,00;10,80
2025/03/01 11:10:00;P;;;;;9,90
2025/03/01 11:15:00;P;;8,2;45,0;0,00;9,30
2025/03/01 11:15:01;P;;;;;9,30
2025/03/01 11:30:00;A;;8,2;49,5;0,00;9,90
2025/03/01 11:30:01;P;;;49,5;;9,90
2025/03/01 11:45:00;A;;8,3;46,2;0,00;8,90
2025/03/01 11:45:01;P;;;46,2;;8,90
2025/03/01 12:00:00;P;;8,2;46,2;0,00;9,90
2025/03/01 12:00:01;P;;;;;9,90
