Date-time;Type;Metadato grafico storico;POZ002 - Parma - Misura pressione rete (bar);POZ002 - Parma - Misura portata rete modbus (l/s);POZ002 - Parma - Misura livello falda (m)
2025/03/01 00:00:00;P;;8,4;0,0;8,57
2025/03/01 00:15:00;P;;8,5;0,0;8,56
2025/03/01 00:30:00;P;;8,5;0,0;8,56
2025/03/01 00:45:00;P;;8,5;0,0;8,55
2025/03/01 01:00:00;P;;8,5;0,0;8,57
2025/03/01 01:15:00;P;;8,6;0,0;8,56
2025/03/01 01:30:00;P;;8,5;0,0;8,56
2025/03/01 01:45:00;P;;8,6;0,0;8,56
2025/03/01 02:00:00;P;;8,6;0,0;8,56
2025/03/01 02:15:00;P;;8,7;0,0;8,57
2025/03/01 02:30:00;P;;8,6;0,0;8,57
2025/03/01 02:45:00;P;;8,7;0,0;8,55
2025/03/01 03:00:00;P;;8,6;0,0;8,57
2025/03/01 03:15:00;P;;8,7;0,0;8,58
2025/03/01 03:30:00;P;;8,6;0,0;8,56
2025/03/01 03:45:00;P;;8,7;0,0;8,54
2025/03/01 04:00:00;P;;8,5;0,0;8,55
2025/03/01 04:15:00;P;;8,6;0,0;8,56
2025/03/01 04:30:00;P;;8,5;0,0;8,56
2025/03/01 04:45:00;P;;8,5;0,0;8,57
2025/03/01 05:00:00;P;;8,5;0,0;8,56
2025/03/01 05:01:00;A;;9,0;;8,81
2025/03/01 05:03:00;A;;;;9,17
2025/03/01 05:04:00;A;;;;8,95
2025/03/01 05:05:00;A;;;35,1;
2025/03/01 05:15:00;P;;9,1;36,6;8,95
2025/03/01 05:25:00;A;;;;9,15
2025/03/01 05:27:00;A;;;;8,94
2025/03/01 05:30:00;P;;9,2;35,1;9,06
2025/03/01 05:45:00;P;;9,2;35,0;8,94
2025/03/01 05:55:00;A;;;;8,70
2025/03/01 05:56:00;A;;;;8,96
2025/03/01 06:00:00;P;;9,1;36,2;8,95
2025/03/01 06:05:00;A;;;33,1;
2025/03/01 06:15:00;P;;9,1;34,7;8,93
2025/03/01 06:16:00;A;;;;8,69
2025/03/01 06:17:00;A;;;;9,02
2025/03/01 06:30:00;P;;9,1;33,7;8,92
2025/03/01 06:42:00;A;;;;9,25
2025/03/01 06:43:00;A;;;;8,88
2025/03/01 06:45:00;P;;9,1;36,0;8,89
2025/03/01 06:49:00;A;;;;9,09
2025/03/01 06:54:00;A;;;;8,82
2025/03/01 07:00:00;P;;9,0;37,3;8,96
2025/03/01 07:04:00;A;;;;9,34
2025/03/01 07:05:00;A;;;;8,96
2025/03/01 07:15:00;P;;9,1;36,7;8,95
2025/03/01 07:17:00;A;;;;9,30
2025/03/01 07:18:00;A;;;;8,88
2025/03/01 07:23:00;A;;;;9,18
2025/03/01 07:25:00;A;;;;8,97
2025/03/01 07:30:00;P;;9,0;38,0;9,00
2025/03/01 07:31:00;A;;;;8,60
2025/03/01 07:32:00;A;;;;8,97
2025/03/01 07:45:00;P;;9,0;37,5;8,99
2025/03/01 08:00:00;P;;8,9;38,6;9,00
2025/03/01 08:15:00;P;;8,9;40,2;9,03
2025/03/01 08:21:00;A;;;;9,28
2025/03/01 08:22:00;A;;;;9,00
2025/03/01 08:29:00;A;;;;9,38
2025/03/01 08:30:00;A;;8,8;40,2;9,02
2025/03/01 08:30:01;P;;;;9,02
2025/03/01 08:40:00;A;;;;8,79
2025/03/01 08:42:00;A;;;;9,01
2025/03/01 08:45:00;P;;8,9;41,1;9,05
2025/03/01 08:56:00;A;;;;9,39
2025/03/01 08:57:00;A;;;;9,03
2025/03/01 09:00:00;P;;8,8;40,9;9,03
2025/03/01 09:03:00;A;;8,6;;
2025/03/01 09:05:00;A;;;;9,33
2025/03/01 09:06:00;A;;;;9,05
2025/03/01 09:07:00;A;;8,8;;
2025/03/01 09:11:00;A;;;;8,83
2025/03/01 09:12:00;A;;;;9,05
2025/03/01 09:15:00;P;;8,7;42,2;9,04
2025/03/01 09:22:00;A;;;;9,45
2025/03/01 09:23:00;A;;;;9,05
2025/03/01 09:30:00;P;;8,7;42,2;9,07
2025/03/01 09:45:00;P;;8,8;41,0;9,05
2025/03/01 10:00:00;P;;8,8;41,1;9,03
2025/03/01 10:15:00;P;;8,7;42,0;9,05
2025/03/01 10:17:00;A;;9,0;;
2025/03/01 10:19:00;A;;;;8,77
2025/03/01 10:20:00;A;;;39,0;9,05
2025/03/01 10:30:00;A;;8,9;38,8;8,77
2025/03/01 10:30:01;P;;;;8,77
2025/03/01 10:31:00;A;;;;8,57
2025/03/01 10:32:00;A;;;;8,91
2025/03/01 10:45:00;P;;8,9;39,3;9,00
2025/03/01 11:00:00;P;;9,0;38,8;9,01
2025/03/01 11:03:00;A;;;;8,62
2025/03/01 11:04:00;A;;;;8,91
2025/03/01 11:13:00;A;;;;9,28
2025/03/01 11:14:00;A;;;;8,99
2025/03/01 11:15:00;P;;8,9;38,8;9,01
2025/03/01 11:17:00;A;;;;8,81
2025/03/01 11:20:00;A;;;;9,14
2025/03/01 11:21:00;A;;;;9,50
2025/03/01 11:22:00;A;;;;8,83
2025/03/01 11:29:00;A;;;;9,22
2025/03/01 11:30:00;P;;8,9;38,9;9,03
2025/03/01 11:45:00;P;;9,0;38,9;9,01
2025/03/01 12:00:00;P;;8,9;39,2;9,01
2025/03/01 12:15:00;P;;9,0;38,5;9,14
2025/03/01 12:21:00;A;;;;8,94
2025/03/01 12:30:00;P;;8,9;38,5;9,01
2025/03/01 12:45:00;P;;8,9;38,2;8,97
2025/03/01 13:00:00;P;;9,0;38,9;8,99
2025/03/01 13:12:00;A;;;;9,42
2025/03/01 13:13:00;A;;;;8,99
2025/03/01 13:14:00;A;;;;8,64
2025/03/01 13:15:00;A;;8,9;38,4;9,00
2025/03/01 13:15:01;P;;;;9,00
2025/03/01 13:19:00;A;;;;9,38
2025/03/01 13:20:00;A;;;;9,00
2025/03/01 13:30:00;P;;9,0;38,0;9,10
2025/03/01 13:42:00;A;;;;8,78
2025/03/01 13:44:00;A;;;;8,98
2025/03/01 13:45:00;P;;9,0;38,0;8,98
2025/03/01 13:55:00;A;;;;9,38
2025/03/01 13:56:00;A;;;;9,02
2025/03/01 14:00:00;P;;9,0;38,4;8,99
2025/03/01 14:15:00;P;;9,0;37,8;8,99
2025/03/01 14:27:00;A;;;;9,20
2025/03/01 14:28:00;A;;;;8,98
2025/03/01 14:30:00;P;;9,0;37,4;8,99
2025/03/01 14:45:00;P;;9,1;37,2;8,98
2025/03/01 14:49:00;A;;;;8,57
2025/03/01 14:50:00;A;;;;8,96
2025/03/01 15:00:00;A;;9,0;36,8;8,63
2025/03/01 15:00:01;P;;;;8,63
2025/03/01 15:01:00;A;;;;8,98
2025/03/01 15:05:00;A;;;;9,22
2025/03/01 15:06:00;A;;;;8,95
2025/03/01 15:09:00;A;;;;9,37
2025/03/01 15:10:00;A;;;;8,97
2025/03/01 15:15:00;P;;9,0;37,1;8,97
2025/03/01 15:16:00;A;;;;9,20
2025/03/01 15:17:00;A;;;;8,81
2025/03/01 15:19:00;A;;;;8,57
2025/03/01 15:20:00;A;;;;9,08
2025/03/01 15:22:00;A;;;;8,86
2025/03/01 15:30:00;P;;9,1;36,6;8,77
2025/03/01 15:35:00;A;;;;8,98
2025/03/01 15:38:00;A;;;;9,32
2025/03/01 15:39:00;A;;;;8,98
2025/03/01 15:42:00;A;;;;9,22
2025/03/01 15:43:00;A;;;;8,94
2025/03/01 15:45:00;P;;9,1;36,7;8,96
2025/03/01 15:47:00;A;;;;8,73
2025/03/01 15:48:00;A;;;;9,14
2025/03/01 15:53:00;A;;;;9,35
2025/03/01 15:54:00;A;;;;8,97
2025/03/01 15:59:00;A;;;;9,38
2025/03/01 16:00:00;A;;9,1;35,9;8,87
2025/03/01 16:00:01;P;;;;8,87
2025/03/01 16:15:00;P;;9,1;36,4;8,97
2025/03/01 16:28:00;A;;;;8,57
2025/03/01 16:29:00;A;;;;8,99
2025/03/01 16:30:00;P;;9,1;35,7;8,97
2025/03/01 16:45:00;P;;9,0;37,0;8,97
2025/03/01 16:59:00;A;;;;9,22
2025/03/01 17:00:00;A;;9,1;36,7;8,96
2025/03/01 17:00:01;P;;;;8,96
2025/03/01 17:10:00;A;;;;9,23
2025/03/01 17:11:00;A;;;;8,93
2025/03/01 17:15:00;P;;9,1;37,0;8,98
2025/03/01 17:18:00;A;;;;8,74
2025/03/01 17:19:00;A;;;;8,97
2025/03/01 17:30:00;P;;9,0;37,7;9,00
2025/03/01 17:45:00;P;;9,0;37,8;8,99
2025/03/01 17:50:00;A;;;;8,78
2025/03/01 17:51:00;A;;;;9,10
2025/03/01 17:52:00;A;;;;8,70
2025/03/01 17:54:00;A;;;;9,00
2025/03/01 18:00:00;P;;9,0;39,0;9,01
