Date-time;Type;Metadato grafico storico;POZ005 - Battisti - Misura pressione rete (bar);POZ005 - Battisti - Misura portata rete modbus (l/s);POZ005 - Battisti - Misura livello falda (m)
2025/03/01 00:00:00;P;;8,4;0,0;10,78
2025/03/01 00:15:00;P;;8,5;0,0;10,78
2025/03/01 00:30:00;P;;8,5;0,0;10,77
2025/03/01 00:45:00;P;;8,6;0,0;10,77
2025/03/01 01:00:00;P;;8,6;0,0;10,77
2025/03/01 01:15:00;P;;8,7;0,0;10,77
2025/03/01 01:30:00;P;;8,6;0,0;10,77
2025/03/01 01:45:00;P;;8,7;0,0;10,77
2025/03/01 02:00:00;P;;8,7;0,0;10,77
2025/03/01 02:15:00;P;;8,7;0,0;10,77
2025/03/01 02:30:00;P;;8,6;0,0;10,77
2025/03/01 02:45:00;P;;8,7;0,0;10,77
2025/03/01 03:00:00;P;;8,7;0,0;10,77
2025/03/01 03:15:00;P;;8,7;0,0;10,76
2025/03/01 03:30:00;P;;8,7;0,0;10,76
2025/03/01 03:45:00;P;;8,7;0,0;10,76
2025/03/01 04:00:00;P;;8,6;0,0;10,76
2025/03/01 04:15:00;P;;8,6;0,0;10,76
2025/03/01 04:30:00;P;;8,6;0,0;10,76
2025/03/01 04:45:00;P;;8,6;0,0;10,76
2025/03/01 05:00:00;P;;8,5;0,0;10,76
2025/03/01 05:15:00;P;;8,5;0,0;10,76
2025/03/01 05:30:00;P;;8,6;0,0;10,76
2025/03/01 05:45:00;P;;8,7;0,0;10,76
2025/03/01 06:00:00;P;;8,6;0,0;10,75
2025/03/01 06:15:00;P;;8,7;0,0;10,76
2025/03/01 06:30:00;P;;8,7;0,0;10,76
2025/03/01 06:45:00;P;;8,6;0,0;10,76
2025/03/01 07:00:00;P;;8,6;0,0;10,76
2025/03/01 07:01:00;A;;8,8;;11,18
2025/03/01 07:05:00;A;;;29,1;
2025/03/01 07:10:00;A;;;32,7;
2025/03/01 07:15:00;P;;8,7;35,2;11,06
2025/03/01 07:19:00;A;;;;11,27
2025/03/01 07:20:00;A;;;41,4;
2025/03/01 07:25:00;A;;;44,8;
2025/03/01 07:30:00;A;;8,6;49,0;11,20
2025/03/01 07:30:01;P;;;49,0;
2025/03/01 07:31:00;A;;;;11,45
2025/03/01 07:32:00;A;;;;11,25
2025/03/01 07:38:00;A;;;;11,72
2025/03/01 07:39:00;A;;;;11,41
2025/03/01 07:40:00;A;;;54,8;
2025/03/01 07:41:00;A;;;;11,15
2025/03/01 07:45:00;A;;8,7;54,8;11,51
2025/03/01 07:45:01;P;;;;11,51
2025/03/01 07:50:00;A;;;63,8;
2025/03/01 07:53:00;A;;;;11,74
2025/03/01 07:54:00;A;;;;11,49
2025/03/01 08:00:00;A;;8,7;67,7;11,64
2025/03/01 08:00:01;P;;;67,7;
2025/03/01 08:05:00;A;;;;11,86
2025/03/01 08:11:00;A;;;;12,29
2025/03/01 08:12:00;A;;;;11,69
2025/03/01 08:15:00;A;;8,6;71,0;11,68
2025/03/01 08:15:01;P;;;71,0;
2025/03/01 08:30:00;P;;8,6;70,0;11,61
2025/03/01 08:37:00;A;;;;11,82
2025/03/01 08:40:00;A;;;;12,53
2025/03/01 08:42:00;A;;;;11,69
2025/03/01 08:45:00;P;;8,5;69,6;11,63
2025/03/01 08:47:00;A;;;;12,19
2025/03/01 08:48:00;A;;;;11,71
2025/03/01 08:49:00;A;;;;11,23
2025/03/01 08:50:00;A;;;;11,71
2025/03/01 08:59:00;A;;;;11,43
2025/03/01 09:00:00;A;;8,5;70,0;11,68
2025/03/01 09:00:01;P;;;;11,68
2025/03/01 09:05:00;A;;;;12,80
2025/03/01 09:06:00;A;;;;11,69
2025/03/01 09:09:00;A;;;;11,17
2025/03/01 09:10:00;A;;;;11,74
2025/03/01 09:14:00;A;;;;12,04
2025/03/01 09:15:00;A;;8,4;73,0;11,78
2025/03/01 09:15:01;P;;;;11,78
2025/03/01 09:30:00;P;;8,4;71,1;11,87
2025/03/01 09:37:00;A;;;;11,42
2025/03/01 09:38:00;A;;;;11,65
2025/03/01 09:40:00;A;;;;11,94
2025/03/01 09:41:00;A;;;;11,69
2025/03/01 09:45:00;P;;8,5;70,9;11,61
2025/03/01 09:53:00;A;;;;12,59
2025/03/01 09:54:00;A;;;;11,71
2025/03/01 10:00:00;P;;8,6;70,9;11,80
2025/03/01 10:14:00;A;;;;12,46
2025/03/01 10:15:00;A;;8,4;71,6;11,70
2025/03/01 10:15:01;P;;;;11,70
2025/03/01 10:17:00;A;;8,7;;
2025/03/01 10:20:00;A;;;67,3;
2025/03/01 10:30:00;A;;8,6;70,8;11,61
