Date-time;Type;Metadato grafico storico;POZ009 - Petrarca - Misura pressione rete (bar);POZ009 - Petrarca - Misura portata rete modbus (l/s);POZ009 - Petrarca - Misura livello falda (m)
2025/03/01 00:00:00;P;;6,4;73,9;35,03
2025/03/01 00:15:00;P;;6,4;73,9;35,00
2025/03/01 00:30:00;P;;6,4;73,9;35,02
2025/03/01 00:45:00;P;;6,3;73,6;35,00
2025/03/01 01:00:00;P;;6,5;73,5;35,03
2025/03/01 01:15:00;P;;6,4;73,5;35,02
2025/03/01 01:30:00;P;;6,4;73,7;35,05
2025/03/01 01:45:00;P;;6,4;73,8;34,99
2025/03/01 02:00:00;P;;6,4;73,4;34,99
2025/03/01 02:15:00;P;;6,4;73,3;34,96
2025/03/01 02:30:00;P;;6,5;73,3;35,00
2025/03/01 02:45:00;P;;6,4;73,2;34,97
2025/03/01 03:00:00;P;;6,5;73,2;34,94
2025/03/01 03:15:00;P;;6,5;73,4;34,93
2025/03/01 03:30:00;P;;6,5;73,5;34,95
2025/03/01 03:45:00;P;;6,5;73,5;34,96
2025/03/01 03:58:00;A;;;;33,68
2025/03/01 04:00:00;A;;6,1;0,0;33,63
2025/03/01 04:00:01;P;;6,1;0,0;
2025/03/01 04:15:00;P;;6,0;0,0;33,58
2025/03/01 04:30:00;P;;6,0;0,0;33,57
2025/03/01 04:45:00;P;;6,0;0,0;33,57
2025/03/01 05:00:00;P;;6,0;0,0;33,56
2025/03/01 05:15:00;P;;6,1;0,0;33,56
2025/03/01 05:30:00;P;;6,1;0,0;33,55
2025/03/01 05:45:00;P;;6,1;0,0;33,55
2025/03/01 06:00:00;P;;6,0;0,0;33,55
2025/03/01 06:15:00;P;;6,1;0,0;33,57
2025/03/01 06:30:00;P;;6,2;0,0;33,59
2025/03/01 06:45:00;P;;6,1;0,0;33,57
2025/03/01 07:00:00;P;;6,1;0,0;33,58
2025/03/01 07:15:00;P;;6,1;0,0;33,58
2025/03/01 07:30:00;P;;6,0;0,0;33,59
2025/03/01 07:45:00;P;;6,1;0,0;33,59
2025/03/01 08:00:00;P;;6,1;0,0;33,60
2025/03/01 08:15:00;P;;6,0;0,0;33,60
2025/03/01 08:30:00;P;;6,0;0,0;33,59
2025/03/01 08:45:00;P;;6,0;0,0;33,60
2025/03/01 09:00:00;P;;6,0;0,0;33,60
2025/03/01 09:15:00;P;;5,9;0,0;33,59
2025/03/01 09:30:00;P;;5,9;0,0;33,60
2025/03/01 09:36:00;A;;;;34,99
2025/03/01 09:40:00;A;;6,3;74,8;
2025/03/01 09:45:00;P;;6,3;74,6;35,12
2025/03/01 10:00:00;P;;6,2;74,3;35,09
2025/03/01 10:10:00;A;;6,4;;
2025/03/01 10:15:00;P;;6,3;74,6;35,07
2025/03/01 10:30:00;P;;6,4;73,9;35,05
2025/03/01 10:45:00;P;;6,4;73,7;35,03
2025/03/01 11:00:00;P;;6,4;73,9;35,07
2025/03/01 11:15:00;P;;6,4;74,0;35,05
2025/03/01 11:30:00;P;;6,4;74,1;35,04
2025/03/01 11:45:00;P;;6,3;73,9;35,04
2025/03/01 12:00:00;P;;6,4;74,4;35,10
2025/03/01 12:15:00;P;;6,4;73,8;35,05
2025/03/01 12:26:00;A;;;;35,30
2025/03/01 12:27:00;A;;;;35,04
2025/03/01 12:30:00;P;;6,3;74,1;34,99
2025/03/01 12:45:00;P;;6,3;73,9;35,05
2025/03/01 13:00:00;P;;6,4;74,2;35,07
2025/03/01 13:15:00;P;;6,4;73,9;35,06
2025/03/01 13:30:00;P;;6,4;73,9;35,06
2025/03/01 13:45:00;P;;6,4;74,0;34,97
2025/03/01 13:53:00;A;;;;35,19
2025/03/01 13:58:00;A;;;;34,98
2025/03/01 14:00:00;P;;6,4;73,9;35,05
2025/03/01 14:15:00;P;;6,4;73,9;35,12
2025/03/01 14:30:00;P;;6,5;73,5;35,05
2025/03/01 14:45:00;P;;6,4;73,9;35,06
2025/03/01 15:00:00;P;;6,5;73,8;34,96
2025/03/01 15:15:00;P;;6,4;73,8;35,03
2025/03/01 15:30:00;P;;6,4;73,6;35,04
2025/03/01 15:45:00;P;;6,4;73,2;35,01
2025/03/01 16:00:00;P;;6,5;73,3;34,94
2025/03/01 16:15:00;P;;6,5;73,3;35,02
2025/03/01 16:30:00;P;;6,6;73,3;35,00
2025/03/01 16:45:00;P;;6,4;73,7;35,02
2025/03/01 17:00:00;P;;6,5;73,4;35,03
2025/03/01 17:15:00;P;;6,3;73,7;35,04
