Date-time;Type;Metadato grafico storico;POZ007 - Mazzini - Misura pressione rete (bar);POZ007 - Mazzini - Misura portata rete modbus (l/s);POZ007 - Mazzini - Misura livello falda (m)
2025/03/01 00:00:00;P;;6,9;0,0;23,98
2025/03/01 00:15:00;P;;6,9;0,0;23,98
2025/03/01 00:30:00;P;;6,9;0,0;23,98
2025/03/01 00:45:00;P;;6,9;0,0;23,97
2025/03/01 01:00:00;P;;6,9;0,0;23,96
2025/03/01 01:15:00;P;;6,9;0,0;23,96
2025/03/01 01:30:00;P;;6,9;0,0;23,97
2025/03/01 01:45:00;P;;7,0;0,0;23,95
2025/03/01 02:00:00;P;;6,9;0,0;23,96
2025/03/01 02:15:00;P;;6,9;0,0;23,95
2025/03/01 02:30:00;P;;7,0;0,0;23,96
2025/03/01 02:45:00;P;;7,0;0,0;23,95
2025/03/01 03:00:00;P;;7,0;0,0;23,95
2025/03/01 03:15:00;P;;6,9;0,0;23,95
2025/03/01 03:30:00;P;;7,0;0,0;23,95
2025/03/01 03:45:00;P;;7,0;0,0;23,96
2025/03/01 04:00:00;P;;6,8;0,0;23,94
2025/03/01 04:15:00;P;;6,8;0,0;23,92
2025/03/01 04:30:00;P;;6,8;0,0;23,91
2025/03/01 04:45:00;P;;6,8;0,0;23,91
2025/03/01 05:00:00;P;;6,8;0,0;23,91
2025/03/01 05:15:00;P;;6,8;0,0;23,91
2025/03/01 05:30:00;P;;6,9;0,0;23,90
2025/03/01 05:45:00;P;;6,8;0,0;23,90
2025/03/01 06:00:00;P;;6,8;0,0;23,90
2025/03/01 06:01:00;A;;;;26,36
2025/03/01 06:02:00;A;;;;27,01
2025/03/01 06:03:00;A;;;;26,79
2025/03/01 06:04:00;A;;;;27,39
2025/03/01 06:05:00;A;;;69,3;26,69
2025/03/01 06:06:00;A;;;;25,30
2025/03/01 06:07:00;A;;;;26,89
2025/03/01 06:08:00;A;;;;26,50
2025/03/01 06:09:00;A;;;;25,96
2025/03/01 06:10:00;A;;;;26,96
2025/03/01 06:15:00;A;;6,9;69,9;26,37
2025/03/01 06:15:01;P;;;;26,37
2025/03/01 06:16:00;A;;;;27,08
2025/03/01 06:20:00;A;;;;26,76
2025/03/01 06:21:00;A;;;;26,26
2025/03/01 06:22:00;A;;;;24,64
2025/03/01 06:23:00;A;;;;26,85
2025/03/01 06:25:00;A;;;;27,09
2025/03/01 06:26:00;A;;;;27,29
2025/03/01 06:27:00;A;;;;26,70
2025/03/01 06:28:00;A;;;;27,25
2025/03/01 06:29:00;A;;;;26,62
