Date-time;Type;Metadato grafico storico;POZ004/12/13 - Ronco - Misura pressione rete pozzo 3 (bar);POZ004/12/13 - Ronco - Misura portata Ronco Totale (l/s);POZ004/12/13 - Ronco - Misura portata pozzo 1 (l/s);POZ004/12/13 - Ronco - Misura portata pozzo 2 (l/s);POZ004/12/13 - Ronco - Misura portata pozzo 3 (l/s);POZ004/12/13 - Ronco - Misura livello falda pozzo 1 (m);POZ004/12/13 - Ronco - Misura livello falda pozzo 2 (m);POZ004/12/13 - Ronco - Misura livello falda pozzo 3 (m)
2025/03/01 00:00:00;P;;8,2;0,4;0,0;0,2;0,1;9,17;8,66;9,09
2025/03/01 00:15:00;P;;8,3;0,4;0,0;0,2;0,3;9,17;8,66;9,09
2025/03/01 00:30:00;P;;8,3;0,4;0,0;0,2;0,2;9,16;8,65;9,09
2025/03/01 00:45:00;P;;8,3;0,4;0,0;0,2;0,1;9,15;8,65;9,08
2025/03/01 01:00:00;P;;8,4;0,3;0,0;0,2;0,2;9,17;8,65;9,09
2025/03/01 01:15:00;P;;8,4;0,3;0,0;0,1;0,2;9,17;8,65;9,08
2025/03/01 01:30:00;P;;8,4;0,6;0,0;0,2;0,4;9,17;8,65;9,08
2025/03/01 01:45:00;P;;8,5;0,2;0,0;0,2;0,0;9,16;8,66;9,08
2025/03/01 02:00:00;P;;8,4;0,3;0,0;0,2;0,1;9,15;8,65;9,08
2025/03/01 02:15:00;P;;8,4;0,3;0,0;0,2;0,2;9,16;8,66;9,08
2025/03/01 02:30:00;P;;8,4;0,2;0,0;0,2;0,0;9,16;8,65;9,08
2025/03/01 02:45:00;P;;8,4;0,3;0,0;0,1;0,2;9,15;8,65;9,08
2025/03/01 03:00:00;P;;8,4;0,5;0,0;0,1;0,4;9,15;8,64;9,08
2025/03/01 03:15:00;P;;8,5;0,3;0,0;0,2;0,1;9,16;8,64;9,07
2025/03/01 03:30:00;P;;8,4;0,3;0,0;0,2;0,1;9,16;8,63;9,07
2025/03/01 03:45:00;P;;8,5;0,3;0,0;0,2;0,1;9,15;8,64;9,07
2025/03/01 04:00:00;P;;8,3;0,3;0,0;0,2;0,1;9,15;8,63;9,07
2025/03/01 04:15:00;P;;8,3;0,3;0,0;0,2;0,2;9,16;8,62;9,07
2025/03/01 04:30:00;P;;8,3;0,2;0,0;0,3;0,0;9,14;8,63;9,07
2025/03/01 04:45:00;P;;8,3;0,4;0,0;0,3;0,1;9,15;8,63;9,07
2025/03/01 05:00:00;P;;8,3;0,3;0,0;0,2;0,1;9,14;8,63;9,07
2025/03/01 05:15:00;P;;8,4;0,4;0,0;0,2;0,1;9,16;8,65;9,07
2025/03/01 05:30:00;P;;8,4;0,4;0,0;0,2;0,0;9,15;8,65;9,08
2025/03/01 05:45:00;P;;8,4;0,4;0,0;0,2;0,2;9,14;8,64;9,07
2025/03/01 06:00:00;P;;8,4;0,3;0,0;0,2;0,1;9,15;8,64;9,07
2025/03/01 06:15:00;P;;8,5;0,2;0,0;0,2;0,0;9,15;8,65;9,07
2025/03/01 06:30:00;P;;8,4;0,4;0,0;0,1;0,2;9,15;8,64;9,07
2025/03/01 06:45:00;P;;8,4;0,5;0,0;0,1;0,4;9,14;8,64;9,07
2025/03/01 07:00:00;P;;8,3;0,5;0,0;0,1;0,4;9,16;8,63;9,08
2025/03/01 07:15:00;P;;8,4;0,4;0,0;0,2;0,2;9,16;8,63;9,08
2025/03/01 07:30:00;P;;8,2;0,4;0,0;0,3;0,2;9,15;8,64;9,08
2025/03/01 07:45:00;P;;8,3;0,3;0,0;0,2;0,1;9,16;8,64;9,09
2025/03/01 08:00:00;P;;8,2;0,2;0,0;0,2;0,0;9,17;8,64;9,09
2025/03/01 08:15:00;P;;8,1;0,4;0,0;0,2;0,1;9,16;8,66;9,10
2025/03/01 08:30:00;P;;8,1;0,4;0,0;0,2;0,2;9,16;8,65;9,09
2025/03/01 08:45:00;P;;8,1;0,4;0,0;0,2;0,2;9,18;8,67;9,10
2025/03/01 09:00:00;P;;8,1;0,6;0,0;0,0;0,4;9,17;8,67;9,10
2025/03/01 09:15:00;P;;8,0;0,3;0,0;0,1;0,1;9,16;8,67;9,10
2025/03/01 09:30:00;P;;8,0;0,2;0,0;0,1;0,2;9,17;8,67;9,10
2025/03/01 09:45:00;P;;8,0;0,2;0,0;0,2;0,0;9,18;8,67;9,11
2025/03/01 10:00:00;P;;8,0;0,5;0,0;0,1;0,4;9,18;8,67;9,11
2025/03/01 10:15:00;P;;7,9;0,3;0,0;0,1;0,2;9,17;8,67;9,11
2025/03/01 10:20:00;A;;8,2;;;;;;;
2025/03/01 10:30:00;P;;8,2;0,5;0,0;0,1;0,4;9,19;8,66;9,11
2025/03/01 10:45:00;P;;8,2;0,3;0,0;0,1;0,2;9,17;8,65;9,11
2025/03/01 11:00:00;P;;8,2;0,5;0,0;0,1;0,4;9,18;8,66;9,11
2025/03/01 11:15:00;P;;8,2;0,2;0,0;0,2;0,0;9,17;8,66;9,10
2025/03/01 11:30:00;P;;8,2;0,4;0,0;0,2;0,2;9,17;8,65;9,11
2025/03/01 11:45:00;P;;8,2;0,4;0,0;0,2;0,2;9,19;8,66;9,10
2025/03/01 12:00:00;P;;8,2;0,3;0,0;0,2;0,2;9,18;8,66;9,10
2025/03/01 12:15:00;P;;8,3;0,4;0,0;0,2;0,2;9,17;8,66;9,11
2025/03/01 12:30:00;P;;8,2;0,7;0,0;0,1;0,4;9,18;8,67;9,11
2025/03/01 12:45:00;P;;8,3;0,2;0,0;0,2;0,0;9,19;8,68;9,11
2025/03/01 13:00:00;P;;8,2;0,3;0,0;0,1;0,2;9,17;8,68;9,11
2025/03/01 13:15:00;P;;8,2;0,2;0,0;0,1;0,1;9,17;8,67;9,10
2025/03/01 13:30:00;P;;8,3;0,3;0,0;0,1;0,2;9,17;8,67;9,10
2025/03/01 13:45:00;P;;8,3;0,1;0,0;0,2;0,0;9,19;8,68;9,10
2025/03/01 14:00:00;P;;8,3;0,2;0,0;0,1;0,0;9,17;8,66;9,11
2025/03/01 14:15:00;P;;8,3;0,2;0,0;0,2;0,0;9,17;8,66;9,11
2025/03/01 14:30:00;P;;8,3;0,4;0,0;0,1;0,2;9,18;8,65;9,10
2025/03/01 14:45:00;P;;8,3;0,2;0,0;0,2;0,0;9,18;8,66;9,11
2025/03/01 15:00:00;P;;8,4;0,4;0,0;0,2;0,2;9,17;8,65;9,10
2025/03/01 15:15:00;P;;8,3;0,3;0,0;0,2;0,2;9,16;8,64;9,09
2025/03/01 15:30:00;P;;8,4;0,4;0,0;0,2;0,2;9,17;8,65;9,10
2025/03/01 15:45:00;P;;8,4;0,5;0,0;0,2;0,3;9,18;8,67;9,10
2025/03/01 16:00:00;P;;8,4;0,3;0,0;0,2;0,1;9,17;8,65;9,10
2025/03/01 16:15:00;P;;8,4;0,2;0,0;0,3;0,0;9,16;8,65;9,09
2025/03/01 16:30:00;P;;8,4;0,4;0,0;0,2;0,2;9,17;8,65;9,09
2025/03/01 16:45:00;P;;8,3;0,4;0,0;0,2;0,1;9,18;8,66;9,09
2025/03/01 17:00:00;P;;8,3;0,4;0,0;0,2;0,1;9,17;8,67;9,10
2025/03/01 17:15:00;P;;8,4;0,4;0,0;0,2;0,3;9,16;8,67;9,10
2025/03/01 17:30:00;P;;8,3;0,3;0,0;0,1;0,1;9,17;8,66;9,10
2025/03/01 17:45:00;P;;8,3;0,3;0,0;0,2;0,2;9,18;8,67;9,10
2025/03/01 18:00:00;P;;8,2;0,2;0,0;0,2;0,0;9,18;8,67;9,10
2025/03/01 18:15:00;P;;8,2;0,4;0,0;0,1;0,2;9,16;8,67;9,10
2025/03/01 18:30:00;P;;8,3;0,2;0,0;0,1;0,1;9,17;8,68;9,11
2025/03/01 18:45:00;P;;8,2;0,3;0,0;0,1;0,2;9,18;8,67;9,10
2025/03/01 19:00:00;P;;8,3;0,2;0,0;0,1;0,1;9,18;8,66;9,11
2025/03/01 19:15:00;P;;8,2;0,3;0,0;0,2;0,2;9,17;8,65;9,10
2025/03/01 19:30:00;P;;8,3;0,2;0,0;0,2;0,0;9,18;8,66;9,10
2025/03/01 19:45:00;P;;8,3;0,3;0,0;0,2;0,2;9,18;8,66;9,10
2025/03/01 20:00:00;P;;8,3;0,4;0,0;0,2;0,1;9,17;8,65;9,10
2025/03/01 20:15:00;P;;8,2;0,3;0,0;0,2;0,2;9,17;8,68;9,11
2025/03/01 20:30:00;P;;8,2;0,5;0,0;0,2;0,2;9,18;8,66;9,10
2025/03/01 20:45:00;P;;8,3;0,4;0,0;0,3;0,0;9,18;8,66;9,09
2025/03/01 21:00:00;P;;8,3;0,3;0,0;0,2;0,1;9,17;8,66;9,10
2025/03/01 21:05:00;A;;7,8;;;;;;;
2025/03/01 21:15:00;P;;7,8;0,4;0,0;0,2;0,3;9,16;8,65;9,09
2025/03/01 21:30:00;P;;7,9;0,5;0,0;0,2;0,3;9,16;8,65;9,09
2025/03/01 21:45:00;P;;7,9;0,4;0,0;0,3;0,1;9,17;8,66;9,09
2025/03/01 22:00:00;P;;7,9;0,4;0,0;0,2;0,2;9,17;8,66;9,09
2025/03/01 22:15:00;P;;8,0;0,2;0,0;0,2;0,0;9,15;8,66;9,09
2025/03/01 22:30:00;P;;8,0;0,3;0,0;0,2;0,2;9,17;8,66;9,09
2025/03/01 22:45:00;P;;8,1;0,4;0,0;0,2;0,1;9,17;8,66;9,09
2025/03/01 23:00:00;P;;8,1;0,2;0,0;0,2;0,0;9,16;8,65;9,09
