Date-time;Type;Metadato grafico storico;SER007 - San Giorgio - Misura livello vasca sinistra (m);SER007 - San Giorgio - Misura livello vasca destra (m);SER007 - San Giorgio - Portata ingresso vasca (l/s);SER007 - San Giorgio - Portata uscita Guncina (l/s);SER007 - San Giorgio - Portata uscita Rafenstein (l/s)
2025/03/01 00:00:00;P;;2,79;2,74;0,0;0,0;0,0
2025/03/01 00:15:00;P;;2,79;2,73;0,0;0,0;0,0
2025/03/01 00:30:00;P;;2,77;2,73;0,0;0,0;0,0
2025/03/01 00:45:00;P;;2,77;2,72;0,0;0,0;0,0
2025/03/01 01:00:00;P;;2,76;2,71;0,0;0,0;0,0
2025/03/01 01:15:00;P;;2,76;2,71;0,0;0,0;0,0
2025/03/01 01:30:00;P;;2,75;2,71;0,0;0,0;0,0
2025/03/01 01:45:00;P;;2,75;2,70;0,0;0,0;0,0
2025/03/01 02:00:00;P;;2,75;2,70;0,0;0,0;0,0
2025/03/01 02:15:00;P;;2,74;2,69;0,0;0,0;0,0
2025/03/01 02:30:00;P;;2,74;2,69;0,0;0,0;0,0
2025/03/01 02:45:00;P;;2,73;2,68;0,0;0,0;0,0
2025/03/01 03:00:00;P;;2,72;2,68;0,0;0,0;0,0
2025/03/01 03:15:00;P;;2,72;2,68;0,0;0,0;0,0
2025/03/01 03:30:00;P;;2,72;2,67;0,0;0,0;0,0
2025/03/01 03:45:00;P;;2,71;2,67;0,0;0,0;0,0
2025/03/01 04:00:00;P;;2,72;2,66;0,0;0,0;0,0
2025/03/01 04:15:00;P;;2,71;2,66;0,0;0,0;0,0
2025/03/01 04:30:00;P;;2,71;2,66;0,0;0,0;0,0
2025/03/01 04:45:00;P;;2,70;2,65;0,0;0,0;0,0
2025/03/01 05:00:00;P;;2,70;2,65;0,0;0,0;0,0
2025/03/01 05:15:00;A;;2,70;2,65;0,0;0,0;0,2
2025/03/01 05:15:01;P;;;;;;0,2
2025/03/01 05:30:00;A;;2,69;2,64;0,0;0,0;0,0
2025/03/01 05:30:01;P;;;;;;0,0
2025/03/01 05:40:00;A;;;;;;0,2
2025/03/01 05:45:00;P;;2,68;2,63;0,0;0,0;0,2
2025/03/01 06:00:00;P;;2,68;2,63;0,0;0,0;0,2
2025/03/01 06:15:00;P;;2,67;2,62;0,0;0,0;0,0
2025/03/01 06:30:00;A;;2,66;2,62;0,0;0,0;0,3
2025/03/01 06:30:01;P;;;;;;0,3
2025/03/01 06:45:00;P;;2,65;2,61;0,0;0,0;0,4
2025/03/01 07:00:00;P;;2,65;2,60;0,0;0,0;0,4
2025/03/01 07:10:00;A;;;;;;0,8
2025/03/01 07:15:00;A;;2,63;2,58;0,0;0,0;0,5
2025/03/01 07:15:01;P;;;;;;0,5
2025/03/01 07:25:00;A;;;;;0,6;
2025/03/01 07:30:00;P;;2,61;2,56;0,0;0,6;0,5
2025/03/01 07:45:00;A;;2,60;2,54;0,0;0,5;1,0
2025/03/01 07:45:01;P;;;;;;1,0
2025/03/01 07:50:00;A;;;;;;0,5
2025/03/01 07:55:00;A;;;;;0,9;
2025/03/01 08:00:00;P;;2,58;2,52;0,0;0,9;0,5
2025/03/01 08:10:00;A;;;;;0,6;
2025/03/01 08:15:00;P;;2,55;2,50;0,0;0,5;0,4
2025/03/01 08:25:00;A;;;;;0,0;
2025/03/01 08:30:00;A;;2,54;2,49;0,0;0,6;0,2
2025/03/01 08:30:01;P;;;;;0,6;
2025/03/01 08:45:00;P;;2,52;2,47;0,0;0,7;0,4
2025/03/01 08:55:00;A;;;;;0,9;0,8
2025/03/01 09:00:00;A;;2,50;2,45;0,0;0,6;0,6
2025/03/01 09:00:01;P;;;;;0,6;0,6
2025/03/01 09:05:00;A;;;;;0,0;
2025/03/01 09:10:00;A;;;2,50;;;0,3
2025/03/01 09:11:00;A;;2,56;;;;
2025/03/01 09:15:00;P;;2,59;2,54;0,0;0,0;0,5
2025/03/01 09:20:00;A;;;;;;0,7
2025/03/01 09:22:00;A;;;2,59;;;
2025/03/01 09:23:00;A;;2,64;;;;
2025/03/01 09:25:00;A;;;;;0,9;
2025/03/01 09:30:00;A;;2,69;2,64;0,0;0,6;0,7
2025/03/01 09:30:01;P;;;2,64;;0,6;
2025/03/01 09:35:00;A;;;;;0,0;0,4
2025/03/01 09:37:00;A;;2,75;2,70;;;
2025/03/01 09:40:00;A;;;;;0,5;
2025/03/01 09:44:00;A;;;2,75;;;
2025/03/01 09:45:00;A;;2,80;2,76;0,0;0,6;0,3
2025/03/01 09:45:01;P;;2,80;;;;
2025/03/01 09:52:00;A;;2,85;2,81;;;
2025/03/01 09:59:00;A;;2,90;2,86;;;
2025/03/01 10:00:00;P;;2,91;2,87;0,0;0,6;0,4
2025/03/01 10:07:00;A;;;2,92;;;
2025/03/01 10:08:00;A;;2,97;;;;
2025/03/01 10:10:00;A;;;;;0,0;0,7
2025/03/01 10:14:00;A;;;2,97;;;
2025/03/01 10:15:00;A;;3,02;2,98;0,0;0,5;0,3
2025/03/01 10:15:01;P;;;;;0,5;0,3
2025/03/01 10:20:00;A;;;;;0,0;
2025/03/01 10:30:00;P;;3,04;2,99;0,0;0,0;0,3
2025/03/01 10:45:00;A;;3,03;2,98;0,0;0,0;0,0
2025/03/01 10:45:01;P;;;;;;0,0
2025/03/01 10:50:00;A;;;;;0,5;
2025/03/01 11:00:00;A;;3,02;2,97;0,0;0,5;0,3
2025/03/01 11:00:01;P;;;;;;0,3
2025/03/01 11:15:00;A;;3,00;2,96;0,0;0,5;0,5
2025/03/01 11:15:01;P;;;;;;0,5
2025/03/01 11:20:00;A;;;;;;0,8
2025/03/01 11:30:00;A;;2,99;2,94;0,0;0,5;0,4
2025/03/01 11:30:01;P;;;;;;0,4
2025/03/01 11:35:00;A;;;;;0,0;
2025/03/01 11:45:00;A;;2,97;2,92;0,0;0,0;0,7
2025/03/01 11:45:01;P;;;;;;0,7
2025/03/01 11:50:00;A;;;;;;0,4
2025/03/01 12:00:00;A;;2,96;2,91;0,0;0,6;0,3
2025/03/01 12:00:01;P;;;;;0,6;
2025/03/01 12:15:00;A;;2,94;2,89;0,0;0,0;0,4
2025/03/01 12:15:01;P;;;;;0,0;
2025/03/01 12:30:00;P;;2,93;2,88;0,0;0,0;0,4
2025/03/01 12:40:00;A;;;;;;0,7
