Date-time;Type;Metadato grafico storico;RIL003 - San Giorgio - Misura pressione rete (bar);RIL003 - San Giorgio - Misura pressione rilancio (bar);RIL003 - San Giorgio - Misura pressione Miramonti (bar);RIL003 - San Giorgio - Misura portata Miramonti (impulsiva) (mc);RIL003 - San Giorgio - Misura portata rete (impulsiva) (mc)
2025/03/01 00:00:00;A;;3,5;48,1;5,8;0,00;0,0
2025/03/01 00:00:01;P;;;;5,8;;
2025/03/01 00:15:00;P;;3,6;48,1;5,8;0,00;0,0
2025/03/01 00:20:00;A;;;;5,5;;
2025/03/01 00:30:00;P;;3,6;48,0;5,6;0,00;0,0
2025/03/01 00:35:00;A;;;;6,0;;
2025/03/01 00:45:00;A;;3,8;48,1;6,1;0,00;0,0
2025/03/01 00:45:01;P;;3,8;;;;
2025/03/01 00:50:00;A;;3,6;;5,7;;
2025/03/01 01:00:00;P;;3,6;48,0;5,6;0,00;0,0
2025/03/01 01:05:00;A;;;;6,0;;
2025/03/01 01:10:00;A;;;;5,6;;
2025/03/01 01:15:00;P;;3,7;48,1;5,5;0,00;0,0
2025/03/01 01:20:00;A;;;;5,7;;
2025/03/01 01:25:00;A;;3,3;;;;
2025/03/01 01:30:00;A;;3,7;48,0;5,7;0,00;0,0
2025/03/01 01:30:01;P;;3,7;;;;
2025/03/01 01:35:00;A;;;;6,1;;
2025/03/01 01:45:00;A;;3,7;48,0;5,7;0,00;0,0
2025/03/01 01:45:01;P;;;;5,7;;
2025/03/01 01:55:00;A;;;;6,0;;
2025/03/01 02:00:00;P;;3,7;48,0;5,8;0,00;0,0
2025/03/01 02:05:00;A;;;;5,5;;
2025/03/01 02:15:00;P;;3,7;48,0;5,4;0,00;0,0
2025/03/01 02:20:00;A;;;;6,0;;
2025/03/01 02:30:00;A;;3,7;48,0;5,5;0,00;0,0
2025/03/01 02:30:01;P;;;;5,5;;
2025/03/01 02:35:00;A;;;;5,9;;
2025/03/01 02:45:00;P;;3,7;48,0;5,8;0,00;0,0
2025/03/01 03:00:00;A;;3,7;48,0;5,5;0,00;0,0
2025/03/01 03:00:01;P;;;;5,5;;
2025/03/01 03:10:00;A;;;;5,9;;
2025/03/01 03:15:00;A;;3,6;48,0;6,1;0,00;0,0
2025/03/01 03:15:01;P;;;;6,1;;
2025/03/01 03:20:00;A;;;;5,6;;
2025/03/01 03:30:00;A;;3,6;48,1;6,1;0,00;0,0
2025/03/01 03:30:01;P;;;;6,1;;
2025/03/01 03:40:00;A;;;;5,7;;
2025/03/01 03:45:00;A;;3,7;48,0;6,0;0,00;0,0
2025/03/01 03:45:01;P;;;;6,0;;
2025/03/01 03:50:00;A;;;;5,8;;
2025/03/01 03:55:00;A;;3,3;;;;
2025/03/01 04:00:00;A;;3,6;48,0;5,6;0,00;0,0
2025/03/01 04:00:01;P;;3,6;;;;
2025/03/01 04:05:00;A;;;;5,8;;
2025/03/01 04:15:00;P;;3,6;48,0;5,7;0,00;0,0
2025/03/01 04:20:00;A;;;;5,4;;
2025/03/01 04:25:00;A;;;;5,6;;
2025/03/01 04:30:00;P;;3,6;48,0;5,7;0,00;0,0
2025/03/01 04:45:00;A;;3,6;48,0;5,5;0,00;0,0
2025/03/01 04:45:01;P;;;;5,5;;
2025/03/01 04:55:00;A;;;;6,1;;
2025/03/01 05:00:00;A;;3,5;48,0;5,5;0,00;0,0
2025/03/01 05:00:01;P;;;;5,5;;
2025/03/01 05:10:00;A;;;;5,7;;
2025/03/01 05:15:00;A;;3,6;48,0;5,5;0,00;0,0
2025/03/01 05:15:01;P;;;;5,5;;
2025/03/01 05:20:00;A;;;;6,0;;
2025/03/01 05:25:00;A;;;;5,6;;
2025/03/01 05:30:00;A;;3,6;48,0;6,1;0,00;0,0
2025/03/01 05:30:01;P;;;;6,1;;
2025/03/01 05:35:00;A;;;;5,4;;
2025/03/01 05:45:00;P;;3,6;48,0;5,5;0,00;0,0
2025/03/01 06:00:00;A;;3,6;48,0;5,8;0,00;0,0
2025/03/01 06:00:01;P;;;;5,8;;
2025/03/01 06:05:00;A;;;;6,2;;
2025/03/01 06:15:00;P;;3,6;48,0;6,1;0,00;0,0
2025/03/01 06:25:00;A;;;;5,7;;
2025/03/01 06:30:00;A;;3,7;48,0;6,1;0,00;0,0
2025/03/01 06:30:01;P;;;;6,1;;
2025/03/01 06:35:00;A;;;;5,8;;
2025/03/01 06:45:00;A;;3,6;48,0;5,5;0,00;0,0
2025/03/01 06:45:01;P;;;;5,5;;
2025/03/01 06:55:00;A;;;;5,7;;
2025/03/01 07:00:00;P;;3,6;48,0;5,7;0,00;0,0
2025/03/01 07:15:00;P;;3,5;48,0;5,8;0,00;0,0
2025/03/01 07:20:00;A;;;;6,2;;
2025/03/01 07:25:00;A;;;;5,5;;
2025/03/01 07:30:00;P;;3,5;48,0;5,5;0,00;0,0
2025/03/01 07:35:00;A;;;;6,1;;
2025/03/01 07:40:00;A;;;;5,6;;
2025/03/01 07:45:00;P;;3,5;48,0;5,6;0,00;0,0
2025/03/01 07:55:00;A;;2,9;;;;
2025/03/01 08:00:00;A;;3,4;47,9;5,7;0,00;0,0
2025/03/01 08:00:01;P;;3,4;;;;
2025/03/01 08:05:00;A;;;;6,3;;
2025/03/01 08:10:00;A;;;;5,5;;
2025/03/01 08:15:00;A;;3,4;47,9;5,9;0,00;0,0
2025/03/01 08:15:01;P;;;;5,9;;
2025/03/01 08:20:00;A;;;;6,2;;
2025/03/01 08:25:00;A;;;;5,5;;
2025/03/01 08:30:00;A;;3,4;47,9;6,1;0,00;0,0
2025/03/01 08:30:01;P;;;;6,1;;
2025/03/01 08:35:00;A;;;;5,5;;
2025/03/01 08:40:00;A;;;;5,7;;
2025/03/01 08:45:00;P;;3,3;47,9;5,8;0,00;0,0
2025/03/01 09:00:00;P;;3,2;48,0;5,9;0,00;0,0
2025/03/01 09:05:00;A;;;51,5;;;
2025/03/01 09:10:00;A;;;;5,6;;
2025/03/01 09:15:00;A;;3,1;51,6;5,9;0,00;0,0
2025/03/01 09:15:01;P;;;;5,9;;
2025/03/01 09:20:00;A;;;;6,4;;
2025/03/01 09:25:00;A;;;;6,0;;
2025/03/01 09:30:00;A;;3,1;51,5;5,4;0,00;0,0
2025/03/01 09:30:01;P;;;;5,4;;
2025/03/01 09:35:00;A;;;;5,8;;
2025/03/01 09:40:00;A;;;;5,6;;
2025/03/01 09:45:00;A;;3,2;51,5;5,9;0,00;0,0
2025/03/01 09:45:01;P;;;;5,9;;
2025/03/01 09:50:00;A;;;;5,5;;
2025/03/01 09:55:00;A;;;;6,1;;
2025/03/01 10:00:00;A;;3,0;51,5;5,6;0,00;0,0
2025/03/01 10:00:01;P;;;;5,6;;
2025/03/01 10:05:00;A;;3,2;;;;
2025/03/01 10:15:00;P;;3,2;51,5;5,5;0,00;0,0
2025/03/01 10:20:00;A;;3,4;48,6;6,0;;
2025/03/01 10:25:00;A;;;48,1;5,4;;
2025/03/01 10:30:00;P;;3,5;48,1;5,5;0,00;0,0
2025/03/01 10:40:00;A;;3,2;;;;
2025/03/01 10:45:00;A;;3,5;48,1;5,9;0,00;0,0
2025/03/01 10:45:01;P;;3,5;;5,9;;
2025/03/01 10:55:00;A;;;;5,7;;
2025/03/01 11:00:00;A;;3,5;48,1;6,0;0,00;0,0
2025/03/01 11:00:01;P;;;;6,0;;
2025/03/01 11:05:00;A;;;;5,5;;
2025/03/01 11:10:00;A;;;;6,1;;
2025/03/01 11:15:00;P;;3,4;48,1;6,0;0,00;0,0
2025/03/01 11:25:00;A;;;;5,6;;
2025/03/01 11:30:00;A;;3,4;48,1;5,8;0,00;0,0
2025/03/01 11:30:01;P;;;;5,8;;
2025/03/01 11:40:00;A;;;;6,1;;
2025/03/01 11:45:00;A;;3,5;48,1;5,4;0,00;0,0
2025/03/01 11:45:01;P;;;;5,4;;
2025/03/01 11:50:00;A;;;;6,0;;
2025/03/01 11:55:00;A;;;;5,6;;
2025/03/01 12:00:00;P;;3,5;48,1;5,4;0,00;0,0
2025/03/01 12:05:00;A;;;;6,1;;
2025/03/01 12:10:00;A;;;;5,7;;
2025/03/01 12:15:00;P;;3,5;48,1;5,8;0,00;0,0
2025/03/01 12:20:00;A;;;;6,1;;
2025/03/01 12:25:00;A;;;;5,7;;
2025/03/01 12:30:00;A;;3,5;48,1;5,5;0,00;0,0
2025/03/01 12:30:01;P;;;;5,5;;
2025/03/01 12:35:00;A;;;;5,9;;
2025/03/01 12:45:00;A;;3,5;48,1;5,5;0,00;0,0
2025/03/01 12:45:01;P;;;;5,5;;
2025/03/01 12:50:00;A;;;;5,9;;
2025/03/01 12:55:00;A;;;;6,1;;
2025/03/01 13:00:00;A;;3,4;48,1;5,6;0,00;0,0
2025/03/01 13:00:01;P;;;;5,6;;
2025/03/01 13:05:00;A;;;;5,8;;
2025/03/01 13:15:00;P;;3,5;48,1;5,8;0,00;0,0
2025/03/01 13:25:00;A;;;;5,6;;
2025/03/01 13:30:00;A;;3,5;48,0;5,8;0,00;0,0
2025/03/01 13:30:01;P;;;;5,8;;
2025/03/01 13:35:00;A;;;;5,4;;
2025/03/01 13:45:00;A;;3,5;48,0;5,6;0,00;0,0
2025/03/01 13:45:01;P;;;;5,6;;
2025/03/01 13:55:00;A;;;;5,4;;
2025/03/01 14:00:00;A;;3,5;48,1;6,1;0,00;0,0
2025/03/01 14:00:01;P;;;;6,1;;
2025/03/01 14:05:00;A;;;;5,4;;
2025/03/01 14:10:00;A;;;;6,1;;
2025/03/01 14:15:00;P;;3,4;48,1;6,1;0,00;0,0
2025/03/01 14:25:00;A;;3,6;;;;
2025/03/01 14:30:00;A;;3,4;48,1;5,7;0,00;0,0
2025/03/01 14:30:01;P;;;;5,7;;
2025/03/01 14:35:00;A;;;;5,5;;
2025/03/01 14:45:00;A;;3,5;48,0;6,0;0,00;0,0
2025/03/01 14:45:01;P;;;;6,0;;
2025/03/01 14:50:00;A;;;;5,7;;
2025/03/01 15:00:00;P;;3,6;48,0;5,7;0,00;0,0
2025/03/01 15:05:00;A;;;;5,9;;
2025/03/01 15:10:00;A;;;;5,4;;
2025/03/01 15:15:00;P;;3,6;48,1;5,6;0,00;0,0
2025/03/01 15:25:00;A;;;;5,4;;
2025/03/01 15:30:00;P;;3,6;48,1;5,5;0,00;0,0
2025/03/01 15:40:00;A;;;;6,0;;
2025/03/01 15:45:00;P;;3,6;48,1;6,0;0,00;0,0
2025/03/01 15:50:00;A;;2,6;;5,5;;
2025/03/01 15:55:00;A;;3,6;;5,8;;
2025/03/01 16:00:00;P;;3,6;48,1;5,7;0,00;0,0
2025/03/01 16:05:00;A;;;;5,5;;
2025/03/01 16:15:00;A;;3,7;48,1;6,0;0,00;0,0
2025/03/01 16:15:01;P;;;;6,0;;
2025/03/01 16:20:00;A;;3,5;;;;
2025/03/01 16:30:00;A;;3,6;48,1;5,7;0,00;0,0
2025/03/01 16:30:01;P;;;;5,7;;
2025/03/01 16:35:00;A;;;;6,0;;
2025/03/01 16:45:00;A;;3,4;48,1;5,6;0,00;0,0
2025/03/01 16:45:01;P;;;;5,6;;
2025/03/01 16:50:00;A;;;;5,4;;
2025/03/01 16:55:00;A;;;;5,8;;
2025/03/01 17:00:00;A;;3,5;48,1;6,1;0,00;0,0
2025/03/01 17:00:01;P;;;;6,1;;
2025/03/01 17:10:00;A;;;;5,4;;
2025/03/01 17:15:00;A;;3,4;48,1;6,0;0,00;0,0
2025/03/01 17:15:01;P;;;;6,0;;
2025/03/01 17:20:00;A;;3,7;;;;
2025/03/01 17:25:00;A;;;;5,7;;
2025/03/01 17:30:00;P;;3,5;48,0;5,8;0,00;0,0
2025/03/01 17:45:00;P;;3,6;48,0;5,7;0,00;0,0
2025/03/01 18:00:00;P;;3,4;48,0;5,7;0,00;0,0
2025/03/01 18:15:00;A;;3,4;48,1;5,5;0,00;0,0
2025/03/01 18:15:01;P;;;;5,5;;
2025/03/01 18:20:00;A;;;;5,9;;
2025/03/01 18:30:00;P;;3,3;48,1;6,0;0,00;0,0
2025/03/01 18:40:00;A;;;;5,7;;
2025/03/01 18:45:00;A;;3,5;48,1;6,2;0,00;0,0
2025/03/01 18:45:01;P;;;;6,2;;
2025/03/01 18:50:00;A;;;;5,5;;
2025/03/01 18:55:00;A;;;;5,8;;
2025/03/01 19:00:00;P;;3,5;48,1;5,8;0,00;0,0
2025/03/01 19:05:00;A;;;;6,0;;
2025/03/01 19:10:00;A;;;;5,5;;
2025/03/01 19:15:00;P;;3,4;48,1;5,4;0,00;0,0
2025/03/01 19:20:00;A;;;;5,9;;
2025/03/01 19:30:00;P;;3,4;48,0;6,0;0,00;0,0
2025/03/01 19:35:00;A;;;;5,8;;
2025/03/01 19:40:00;A;;;;6,1;;
2025/03/01 19:45:00;A;;3,5;48,0;5,6;0,00;0,0
2025/03/01 19:45:01;P;;;;5,6;;
2025/03/01 19:55:00;A;;;51,1;5,4;;
2025/03/01 20:00:00;A;;3,4;51,1;5,8;0,00;0,0
2025/03/01 20:00:01;P;;;;5,8;;
2025/03/01 20:05:00;A;;;;6,3;;
2025/03/01 20:10:00;A;;;;5,4;;
2025/03/01 20:15:00;A;;3,3;51,1;5,9;0,00;0,0
2025/03/01 20:15:01;P;;;;5,9;;
2025/03/01 20:20:00;A;;;;6,3;;
2025/03/01 20:25:00;A;;;;5,6;;
2025/03/01 20:30:00;A;;3,4;51,1;6,1;0,00;0,0
2025/03/01 20:30:01;P;;;;6,1;;
2025/03/01 20:35:00;A;;;;5,6;;
2025/03/01 20:45:00;A;;3,4;51,1;6,0;0,00;0,0
2025/03/01 20:45:01;P;;;;6,0;;
2025/03/01 21:00:00;A;;3,4;51,2;5,8;0,00;0,0
2025/03/01 21:00:01;P;;;;5,8;;
2025/03/01 21:05:00;A;;3,0;;6,1;;
2025/03/01 21:15:00;A;;3,2;52,5;6,0;0,00;0,0
2025/03/01 21:15:01;P;;;52,5;;;
2025/03/01 21:20:00;A;;;48,1;;;
2025/03/01 21:25:00;A;;;;5,4;;
2025/03/01 21:30:00;A;;3,3;48,1;5,6;0,00;0,0
2025/03/01 21:30:01;P;;;;5,6;;
2025/03/01 21:35:00;A;;;;5,4;;
2025/03/01 21:45:00;A;;3,4;48,1;6,1;0,00;0,0
2025/03/01 21:45:01;P;;;;6,1;;
2025/03/01 21:50:00;A;;;;5,9;;
2025/03/01 21:55:00;A;;;;5,4;;
2025/03/01 22:00:00;A;;3,3;48,1;6,0;0,00;0,0
2025/03/01 22:00:01;P;;;;6,0;;
2025/03/01 22:05:00;A;;;;5,7;;
2025/03/01 22:15:00;A;;3,3;48,1;5,4;0,00;0,0
2025/03/01 22:15:01;P;;;;5,4;;
2025/03/01 22:20:00;A;;;;5,7;;
2025/03/01 22:25:00;A;;;;5,9;;
2025/03/01 22:30:00;A;;3,4;48,1;5,6;0,00;0,0
2025/03/01 22:30:01;P;;;;5,6;;
2025/03/01 22:35:00;A;;;;6,0;;
2025/03/01 22:45:00;A;;3,4;48,1;5,7;0,00;0,0
2025/03/01 22:45:01;P;;;;5,7;;
2025/03/01 22:50:00;A;;;;5,5;;
2025/03/01 22:55:00;A;;;;5,8;;
2025/03/01 23:00:00;A;;3,4;48,1;5,5;0,00;0,0
2025/03/01 23:00:01;P;;;;5,5;;
2025/03/01 23:05:00;A;;;;5,9;;
2025/03/01 23:10:00;A;;;;5,5;;
2025/03/01 23:15:00;P;;3,4;48,1;5,5;0,00;0,0
2025/03/01 23:20:00;A;;;;6,1;;
2025/03/01 23:30:00;A;;3,6;48,1;6,2;0,00;0,0
2025/03/01 23:30:01;P;;3,6;;;;
2025/03/01 23:35:00;A;;;;5,7;;
2025/03/01 23:40:00;A;;3,4;;6,3;;
2025/03/01 23:45:00;A;;3,4;48,1;5,9;0,00;0,0
2025/03/01 23:45:01;P;;;;5,9;;
2025/03/01 23:50:00;A;;;;5,5;;
2025/03/01 23:55:00;A;;3,6;;5,9;;
2025/03/02 00:00:00;A;;3,6;48,1;6,2;0,00;0,0
2025/03/02 00:00:01;P;;;;6,2;;
2025/03/02 00:05:00;A;;;;5,9;;
2025/03/02 00:10:00;A;;;;5,4;;
2025/03/02 00:15:00;P;;3,6;48,0;5,6;0,00;0,0
2025/03/02 00:20:00;A;;;;5,9;;
2025/03/02 00:25:00;A;;;;5,5;;
2025/03/02 00:30:00;A;;3,7;48,0;6,2;0,00;0,0
2025/03/02 00:30:01;P;;;;6,2;;
2025/03/02 00:35:00;A;;;;5,5;;
2025/03/02 00:40:00;A;;3,5;;6,2;;
2025/03/02 00:45:00;A;;3,6;48,1;5,8;0,00;0,0
2025/03/02 00:45:01;P;;;;5,8;;
2025/03/02 00:50:00;A;;;;5,4;;
2025/03/02 00:55:00;A;;;;5,9;;
2025/03/02 01:00:00;A;;3,6;48,1;5,6;0,00;0,0
2025/03/02 01:00:01;P;;;;5,6;;
2025/03/02 01:10:00;A;;;;5,8;;
2025/03/02 01:15:00;P;;3,6;48,1;5,7;0,00;0,0
2025/03/02 01:20:00;A;;;;5,4;;
2025/03/02 01:30:00;A;;3,6;48,1;5,6;0,00;0,0
2025/03/02 01:30:01;P;;;;5,6;;
2025/03/02 01:35:00;A;;;;6,0;;
2025/03/02 01:40:00;A;;;;5,4;;
2025/03/02 01:45:00;P;;3,6;48,0;5,5;0,00;0,0
2025/03/02 02:00:00;A;;3,6;48,0;5,8;0,00;0,0
2025/03/02 02:00:01;P;;;;5,8;;
2025/03/02 02:15:00;A;;3,6;48,1;6,0;0,00;0,0
2025/03/02 02:15:01;P;;;;6,0;;
2025/03/02 02:20:00;A;;;;5,7;;
2025/03/02 02:30:00;P;;3,6;48,0;5,7;0,00;0,0
2025/03/02 02:40:00;A;;;;6,0;;
2025/03/02 02:45:00;A;;3,3;48,1;5,8;0,00;0,0
2025/03/02 02:45:01;P;;3,3;;;;
2025/03/02 02:50:00;A;;3,6;;5,6;;
2025/03/02 02:55:00;A;;;;5,8;;
2025/03/02 03:00:00;P;;3,6;48,1;6,0;0,00;0,0
2025/03/02 03:05:00;A;;;;5,5;;
2025/03/02 03:10:00;A;;;;6,3;;
2025/03/02 03:15:00;A;;3,6;48,1;5,7;0,00;0,0
2025/03/02 03:15:01;P;;;;5,7;;
2025/03/02 03:25:00;A;;;;6,0;;
2025/03/02 03:30:00;A;;3,6;48,1;5,4;0,00;0,0
2025/03/02 03:30:01;P;;;;5,4;;
2025/03/02 03:35:00;A;;;;5,7;;
2025/03/02 03:40:00;A;;;;5,9;;
2025/03/02 03:45:00;A;;3,6;48,0;5,6;0,00;0,0
2025/03/02 03:45:01;P;;;;5,6;;
2025/03/02 03:50:00;A;;;;6,1;;
2025/03/02 04:00:00;A;;3,6;48,0;5,9;0,00;0,0
2025/03/02 04:00:01;P;;;;5,9;;
2025/03/02 04:05:00;A;;;;5,4;;
2025/03/02 04:10:00;A;;;;5,7;;
2025/03/02 04:15:00;P;;3,6;48,1;5,6;0,00;0,0
2025/03/02 04:20:00;A;;;;5,9;;
2025/03/02 04:25:00;A;;;;5,4;;
2025/03/02 04:30:00;A;;3,6;48,0;5,6;0,00;0,0
2025/03/02 04:30:01;P;;;;5,6;;
2025/03/02 04:35:00;A;;;;5,9;;
2025/03/02 04:45:00;A;;3,6;48,0;5,6;0,00;0,0
