Date-time;Type;Metadato grafico storico;SER006 - Colle - Misura livello vasca sinistra (m);SER006 - Colle - Misura livello vasca destra (m);SER006 - Colle - Portata acqua uscita serbatoio (l/s)
2025/03/01 00:00:00;P;;4,09;4,09;0,1
2025/03/01 00:05:00;A;;;;0,3
2025/03/01 00:10:00;S;;;;0,1
2025/03/01 00:15:00;P;;4,09;4,09;0,2
2025/03/01 00:30:00;P;;4,08;4,08;0,1
2025/03/01 00:45:00;P;;4,08;4,08;0,1
2025/03/01 01:00:00;P;;4,08;4,08;0,2
2025/03/01 01:15:00;P;;4,08;4,08;0,1
2025/03/01 01:30:00;P;;4,08;4,07;0,1
2025/03/01 01:45:00;P;;4,08;4,07;0,1
2025/03/01 02:00:00;P;;4,07;4,07;0,1
2025/03/01 02:15:00;P;;4,07;4,07;0,1
2025/03/01 02:30:00;P;;4,07;4,07;0,1
2025/03/01 02:45:00;P;;4,07;4,07;0,1
2025/03/01 03:00:00;P;;4,06;4,06;0,1
2025/03/01 03:15:00;P;;4,06;4,06;0,1
2025/03/01 03:30:00;P;;4,06;4,06;0,1
2025/03/01 03:45:00;P;;4,06;4,06;0,1
2025/03/01 04:00:00;P;;4,06;4,05;0,1
2025/03/01 04:15:00;P;;4,05;4,05;0,1
2025/03/01 04:30:00;P;;4,05;4,05;0,1
2025/03/01 04:45:00;P;;4,05;4,05;0,1
2025/03/01 05:00:00;P;;4,05;4,05;0,1
2025/03/01 05:15:00;P;;4,05;4,04;0,1
2025/03/01 05:30:00;P;;4,04;4,04;0,1
2025/03/01 05:45:00;P;;4,04;4,04;0,1
2025/03/01 06:00:00;P;;4,03;4,03;0,1
2025/03/01 06:15:00;P;;4,03;4,03;0,1
2025/03/01 06:30:00;P;;4,03;4,03;0,1
2025/03/01 06:45:00;P;;4,03;4,03;0,2
2025/03/01 07:00:00;P;;4,02;4,02;0,2
2025/03/01 07:15:00;P;;4,02;4,02;0,1
2025/03/01 07:30:00;P;;4,02;4,01;0,1
2025/03/01 07:45:00;P;;4,01;4,01;0,1
2025/03/01 08:00:00;P;;4,00;4,00;0,3
2025/03/01 08:00:01;P;;;;0,3
2025/03/01 08:15:00;P;;4,04;4,04;0,3
2025/03/01 08:25:00;A;;;;0,6
2025/03/01 08:28:00;A;;4,09;4,09;
2025/03/01 08:30:00;A;;4,10;4,10;0,2
2025/03/01 08:30:01;P;;;;0,2
2025/03/01 08:35:00;A;;;;0,4
2025/03/01 08:43:00;A;;4,15;;
2025/03/01 08:44:00;A;;;4,15;
2025/03/01 08:45:00;A;;4,16;4,15;0,7
2025/03/01 08:45:01;P;;;;0,7
2025/03/01 08:59:00;A;;4,21;4,21;
2025/03/01 09:00:00;A;;4,21;4,21;0,2
2025/03/01 09:00:01;P;;;;0,2
2025/03/01 09:10:00;A;;;;0,5
2025/03/01 09:13:00;A;;4,26;4,26;
2025/03/01 09:15:00;A;;4,27;4,27;0,3
2025/03/01 09:28:00;A;;4,32;;
2025/03/01 09:29:00;A;;;4,32;
2025/03/01 09:30:00;P;;4,33;4,33;0,1
2025/03/01 09:30:01;P;;;;0,1
2025/03/01 09:35:00;S;;;;0,3
2025/03/01 09:40:00;S;;;;0,1
2025/03/01 09:43:00;A;;4,38;4,38;
2025/03/01 09:45:00;P;;4,39;4,39;0,2
2025/03/01 09:55:00;A;;;;0,5
2025/03/01 10:00:00;A;;4,40;4,39;0,8
2025/03/01 10:00:01;P;;;;0,8
2025/03/01 10:05:00;A;;;;0,5
2025/03/01 10:15:00;A;;4,39;4,39;0,1
2025/03/01 10:15:01;P;;;;0,1
2025/03/01 10:25:00;S;;;;0,3
2025/03/01 10:30:00;P;;4,38;4,38;0,1
2025/03/01 10:30:01;P;;;;0,1
2025/03/01 10:45:00;P;;4,38;4,38;0,2
2025/03/01 11:00:00;P;;4,37;4,37;0,3
2025/03/01 11:05:00;S;;;;0,1
2025/03/01 11:10:00;A;;;;0,4
2025/03/01 11:15:00;A;;4,37;4,37;0,1
2025/03/01 11:15:01;P;;;;0,1
2025/03/01 11:30:00;P;;4,37;4,36;0,3
2025/03/01 11:30:01;P;;;;0,3
2025/03/01 11:45:00;P;;4,36;4,36;0,2
2025/03/01 12:00:00;P;;4,36;4,36;0,2
2025/03/01 12:15:00;P;;4,36;4,35;0,1
2025/03/01 12:30:00;P;;4,35;4,35;0,1
2025/03/01 12:45:00;P;;4,35;4,35;0,1
2025/03/01 12:50:00;S;;;;0,3
2025/03/01 13:00:00;P;;4,34;4,34;0,2
2025/03/01 13:15:00;P;;4,34;4,33;0,1
2025/03/01 13:20:00;S;;;;0,3
2025/03/01 13:30:00;P;;4,33;4,33;0,4
2025/03/01 13:35:00;A;;;;0,2
2025/03/01 13:45:00;P;;4,33;4,33;0,1
2025/03/01 14:00:00;P;;4,33;4,32;0,1
2025/03/01 14:15:00;P;;4,32;4,32;0,1
2025/03/01 14:30:00;P;;4,32;4,32;0,1
2025/03/01 14:35:00;S;;;;0,3
2025/03/01 14:45:00;P;;4,32;4,31;0,1
2025/03/01 14:45:01;P;;;;0,1
2025/03/01 15:00:00;P;;4,31;4,31;0,1
2025/03/01 15:15:00;P;;4,31;4,31;0,1
2025/03/01 15:30:00;P;;4,30;4,30;0,2
2025/03/01 15:45:00;P;;4,30;4,30;0,1
2025/03/01 16:00:00;P;;4,30;4,30;0,1
2025/03/01 16:15:00;P;;4,29;4,29;0,1
2025/03/01 16:30:00;P;;4,29;4,29;0,2
2025/03/01 16:45:00;P;;4,29;4,29;0,1
2025/03/01 16:50:00;S;;;;0,3
2025/03/01 16:55:00;S;;;;0,1
2025/03/01 17:00:00;P;;4,28;4,28;0,2
2025/03/01 17:05:00;A;;;;0,4
2025/03/01 17:15:00;P;;4,28;4,28;0,3
2025/03/01 17:20:00;S;;;;0,1
2025/03/01 17:30:00;P;;4,27;4,28;0,1
2025/03/01 17:45:00;A;;4,27;4,27;0,6
2025/03/01 17:45:01;P;;;;0,6
2025/03/01 17:50:00;A;;;;0,3
2025/03/01 18:00:00;P;;4,26;4,26;0,2
2025/03/01 18:15:00;P;;4,26;4,26;0,1
2025/03/01 18:30:00;P;;4,25;4,25;0,2
2025/03/01 18:45:00;P;;4,25;4,25;0,2
2025/03/01 19:00:00;P;;4,25;4,25;0,3
2025/03/01 19:15:00;P;;4,24;4,24;0,3
2025/03/01 19:20:00;S;;;;0,1
2025/03/01 19:25:00;S;;;;0,3
2025/03/01 19:30:00;P;;4,24;4,24;0,4
2025/03/01 19:45:00;P;;4,23;4,23;0,4
2025/03/01 19:55:00;A;;;;0,7
2025/03/01 20:00:00;P;;4,22;4,22;0,5
2025/03/01 20:00:01;P;;;;0,5
2025/03/01 20:15:00;P;;4,22;4,22;0,4
2025/03/01 20:20:00;A;;;;0,1
2025/03/01 20:25:00;A;;;;0,5
2025/03/01 20:30:00;P;;4,21;4,20;0,7
2025/03/01 20:30:01;P;;;;0,7
2025/03/01 20:35:00;A;;;;0,2
2025/03/01 20:40:00;A;;;;0,4
2025/03/01 20:45:00;A;;4,20;4,20;0,2
2025/03/01 20:45:01;P;;;;0,2
2025/03/01 21:00:00;P;;4,20;4,19;0,1
2025/03/01 21:15:00;P;;4,19;4,19;0,1
2025/03/01 21:30:00;P;;4,19;4,19;0,2
2025/03/01 21:45:00;P;;4,19;4,19;0,1
2025/03/01 22:00:00;P;;4,19;4,18;0,2
2025/03/01 22:15:00;P;;4,18;4,18;0,2
2025/03/01 22:30:00;P;;4,18;4,18;0,1
2025/03/01 22:40:00;A;;;;0,3
2025/03/01 22:45:00;P;;4,18;4,18;0,1
2025/03/01 22:45:01;P;;;;0,1
2025/03/01 23:00:00;P;;4,18;4,18;0,2
2025/03/01 23:15:00;P;;4,17;4,17;0,1
2025/03/01 23:30:00;P;;4,17;4,16;0,1
2025/03/01 23:45:00;P;;4,17;4,16;0,1
2025/03/01 23:55:00;A;;;;0,3
2025/03/02 00:00:00;P;;4,16;4,16;0,1
2025/03/02 00:00:01;P;;;;0,1
2025/03/02 00:15:00;P;;4,16;4,16;0,1
2025/03/02 00:30:00;P;;4,16;4,16;0,1
2025/03/02 00:45:00;P;;4,16;4,16;0,1
2025/03/02 01:00:00;P;;4,16;4,15;0,1
2025/03/02 01:15:00;P;;4,16;4,15;0,1
2025/03/02 01:30:00;P;;4,15;4,15;0,1
2025/03/02 01:45:00;P;;4,15;4,14;0,1
2025/03/02 02:00:00;P;;4,14;4,14;0,1
2025/03/02 02:15:00;P;;4,14;4,14;0,1
2025/03/02 02:30:00;P;;4,14;4,14;0,1
2025/03/02 02:45:00;P;;4,14;4,14;0,1
2025/03/02 03:00:00;P;;4,14;4,13;0,1
2025/03/02 03:15:00;P;;4,14;4,13;0,1
2025/03/02 03:30:00;P;;4,14;4,13;0,1
2025/03/02 03:45:00;P;;4,13;4,13;0,1
2025/03/02 04:00:00;P;;4,13;4,13;0,1
2025/03/02 04:15:00;P;;4,12;4,12;0,1
2025/03/02 04:30:00;P;;4,12;4,12;0,1
2025/03/02 04:45:00;P;;4,12;4,12;0,1
2025/03/02 05:00:00;P;;4,12;4,12;0,1
2025/03/02 05:15:00;P;;4,12;4,11;0,1
2025/03/02 05:30:00;P;;4,12;4,11;0,1
2025/03/02 05:45:00;P;;4,11;4,11;0,1
2025/03/02 06:00:00;P;;4,11;4,11;0,1
2025/03/02 06:15:00;P;;4,11;4,11;0,1
2025/03/02 06:30:00;P;;4,11;4,10;0,1
2025/03/02 06:45:00;P;;4,10;4,10;0,2
2025/03/02 07:00:00;P;;4,10;4,10;0,1
2025/03/02 07:05:00;S;;;;0,3
2025/03/02 07:10:00;S;;;;0,1
2025/03/02 07:15:00;P;;4,09;4,09;0,1
2025/03/02 07:25:00;A;;;;0,3
2025/03/02 07:30:00;P;;4,09;4,09;0,1
2025/03/02 07:30:01;P;;;;0,1
2025/03/02 07:45:00;P;;4,09;4,09;0,1
2025/03/02 07:50:00;S;;;;0,3
2025/03/02 07:55:00;S;;;;0,1
2025/03/02 08:00:00;P;;4,08;4,08;0,2
2025/03/02 08:10:00;A;;;;0,7
2025/03/02 08:15:00;A;;4,08;4,08;0,2
2025/03/02 08:15:01;P;;;;0,2
2025/03/02 08:20:00;A;;;;0,6
2025/03/02 08:25:00;A;;;;0,2
2025/03/02 08:30:00;A;;4,07;4,07;0,6
2025/03/02 08:30:01;P;;;;0,6
2025/03/02 08:45:00;A;;4,06;4,06;0,3
2025/03/02 08:45:01;P;;;;0,3
2025/03/02 08:55:00;A;;;;0,6
2025/03/02 09:00:00;A;;4,06;4,05;0,2
