Date-time;Type;Metadato grafico storico;SER008/11-RIL002 - S Pietro - Portata uscita Città Vecchia (l/s);SER008/11-RIL002 - S Pietro - Portata ingresso serb. S. Pietro (l/s);SER008/11-RIL002 - S Pietro - Portata uscita serb. S. Pietro (l/s);SER008/11-RIL002 - S Pietro - Portata uscita Prato Volpe (l/s)
2025/03/01 00:00:00;A;;0,2;2,7;0,0;-0,6
2025/03/01 00:00:01;P;;;2,7;0,0;
2025/03/01 00:05:00;A;;;7,7;;
2025/03/01 00:10:05;A;;;11,3;;
2025/03/01 00:15:00;A;;-0,1;14,5;0,0;-1,4
2025/03/01 00:15:01;P;;;14,5;;
2025/03/01 00:20:00;A;;;16,9;;
2025/03/01 00:25:00;A;;;19,6;;
2025/03/01 00:30:00;A;;0,0;18,2;0,0;-1,0
2025/03/01 00:30:01;P;;;18,2;;
2025/03/01 00:35:00;A;;;22,9;;
2025/03/01 00:40:00;A;;;25,8;;
2025/03/01 00:45:00;A;;0,2;29,7;0,0;-1,6
2025/03/01 00:45:01;P;;;29,7;;
2025/03/01 00:50:00;A;;;31,1;;
2025/03/01 01:00:00;P;;0,1;30,4;0,0;-1,3
2025/03/01 01:05:00;A;;;31,7;;
2025/03/01 01:10:00;A;;;33,5;;
2025/03/01 01:15:00;P;;0,0;33,9;0,0;-1,7
2025/03/01 01:20:00;A;;;37,5;;
2025/03/01 01:30:00;A;;0,1;39,1;0,0;-1,7
2025/03/01 01:30:01;P;;;39,1;;
2025/03/01 01:40:00;A;;;40,9;;
2025/03/01 01:45:00;P;;-0,2;40,9;0,0;-1,8
2025/03/01 01:50:00;A;;;43,3;;
2025/03/01 01:55:00;A;;;39,7;;
2025/03/01 02:00:00;A;;-0,1;38,7;0,0;-1,7
2025/03/01 02:00:01;P;;;38,7;;
2025/03/01 02:10:00;A;;;41,6;;
2025/03/01 02:15:00;A;;0,0;43,4;0,0;-1,8
2025/03/01 02:15:01;P;;;43,4;;
2025/03/01 02:20:00;A;;;41,8;;
2025/03/01 02:30:00;P;;0,1;42,3;0,0;-1,5
2025/03/01 02:40:00;A;;;43,6;;
2025/03/01 02:45:00;P;;-0,1;43,6;0,0;-1,6
2025/03/01 02:55:00;A;;;44,9;;
2025/03/01 03:00:00;A;;0,1;46,0;0,0;-1,8
2025/03/01 03:00:01;P;;;46,0;;
2025/03/01 03:10:00;A;;;44,4;;
2025/03/01 03:15:00;A;;0,1;46,1;0,0;-1,6
2025/03/01 03:15:01;P;;;46,1;;
2025/03/01 03:20:00;A;;;47,2;;
2025/03/01 03:30:00;P;;0,1;46,8;0,0;-1,4
2025/03/01 03:35:00;A;;;45,0;;
2025/03/01 03:45:00;P;;0,1;44,7;0,0;-1,3
2025/03/01 03:50:00;A;;;43,4;;
2025/03/01 03:55:00;A;;;44,8;;
2025/03/01 04:00:00;A;;0,1;0,0;10,7;0,4
2025/03/01 04:00:01;P;;;0,0;10,7;0,4
2025/03/01 04:05:00;A;;;;17,8;
2025/03/01 04:10:00;A;;;;15,4;
2025/03/01 04:15:00;P;;-0,1;0,0;15,3;0,7
2025/03/01 04:25:00;A;;;;17,3;
2025/03/01 04:30:00;A;;0,1;0,0;15,4;0,7
2025/03/01 04:30:01;P;;;;15,4;
2025/03/01 04:35:00;A;;;;23,4;
2025/03/01 04:40:00;A;;;;20,7;
2025/03/01 04:45:00;A;;-0,1;0,0;23,6;1,2
2025/03/01 04:45:01;P;;;;23,6;
2025/03/01 04:50:00;A;;;;22,5;
2025/03/01 05:00:00;A;;0,1;0,0;25,4;1,3
2025/03/01 05:00:01;P;;;;25,4;
2025/03/01 05:05:00;A;;;;3,5;
2025/03/01 05:15:00;A;;0,1;0,0;8,0;1,2
2025/03/01 05:15:01;P;;;;8,0;
2025/03/01 05:25:00;A;;;;3,6;
2025/03/01 05:30:00;A;;0,1;0,0;1,7;0,8
2025/03/01 05:30:01;P;;;;1,7;
2025/03/01 05:45:00;A;;-0,1;0,0;3,0;0,5
2025/03/01 05:45:01;P;;;;3,0;
2025/03/01 05:50:00;A;;;;5,2;
2025/03/01 06:00:00;A;;0,1;0,0;9,0;0,9
2025/03/01 06:00:01;P;;;;9,0;
2025/03/01 06:05:00;A;;;32,0;0,0;-0,7
2025/03/01 06:10:00;A;;;30,0;;
2025/03/01 06:15:00;A;;-0,2;28,8;0,0;-0,6
2025/03/01 06:15:01;P;;;28,8;;
2025/03/01 06:20:00;A;;;24,1;;
2025/03/01 06:25:00;A;;;26,2;;
2025/03/01 06:30:00;A;;-0,1;27,2;0,0;-0,8
2025/03/01 06:30:01;P;;;27,2;;
2025/03/01 06:35:00;A;;;20,3;;
2025/03/01 06:40:00;A;;;16,1;;
2025/03/01 06:45:00;A;;-0,1;11,3;0,0;0,0
2025/03/01 06:45:01;P;;;11,3;;
2025/03/01 06:55:00;A;;;2,1;;
2025/03/01 07:00:00;A;;0,1;0,0;1,6;1,2
2025/03/01 07:00:01;P;;;0,0;1,6;1,2
2025/03/01 07:05:00;A;;;6,9;0,0;
2025/03/01 07:10:00;A;;;0,0;1,6;
2025/03/01 07:15:00;A;;0,1;0,0;0,2;0,8
2025/03/01 07:15:01;P;;;;0,2;
2025/03/01 07:20:00;A;;;;2,0;
2025/03/01 07:25:00;A;;1,9;;12,5;3,2
2025/03/01 07:30:00;A;;1,1;0,0;16,7;3,2
2025/03/01 07:30:01;P;;;;16,7;
2025/03/01 07:35:00;A;;;;15,3;
2025/03/01 07:40:00;A;;3,3;;26,0;
2025/03/01 07:45:00;A;;3,9;0,0;31,0;4,0
2025/03/01 07:45:01;P;;;;31,0;
2025/03/01 07:50:00;A;;;;33,4;
2025/03/01 07:55:00;A;;;;39,3;
2025/03/01 08:00:00;A;;5,8;0,0;45,5;4,7
2025/03/01 08:00:01;P;;5,8;;45,5;
2025/03/01 08:05:00;A;;;;47,7;
2025/03/01 08:10:00;A;;;;42,6;
2025/03/01 08:15:00;A;;7,5;0,0;55,2;5,2
2025/03/01 08:15:01;P;;7,5;;55,2;
2025/03/01 08:20:00;A;;6,3;;53,3;
2025/03/01 08:30:00;A;;6,4;0,0;56,6;4,8
2025/03/01 08:30:01;P;;;;56,6;
2025/03/01 08:35:00;A;;;;61,9;
2025/03/01 08:40:00;A;;7,6;;65,2;
2025/03/01 08:45:00;A;;7,0;0,0;63,7;5,2
2025/03/01 08:45:01;P;;;;63,7;
2025/03/01 08:55:00;A;;;;62,6;
2025/03/01 09:00:00;A;;7,0;0,0;66,8;5,1
2025/03/01 09:00:01;P;;;;66,8;
2025/03/01 09:05:00;A;;;;64,0;
2025/03/01 09:10:00;A;;;;68,5;
2025/03/01 09:15:00;A;;8,3;0,0;73,7;5,6
2025/03/01 09:15:01;P;;8,3;;73,7;
2025/03/01 09:20:00;A;;;;75,0;
2025/03/01 09:30:00;A;;7,4;0,0;73,4;5,4
2025/03/01 09:30:01;P;;;;73,4;
2025/03/01 09:40:00;A;;6,4;;13,0;
2025/03/01 09:45:00;A;;6,3;0,0;16,1;4,8
2025/03/01 09:45:01;P;;;;16,1;
2025/03/01 09:50:00;A;;4,9;;4,8;
2025/03/01 09:55:00;A;;;;11,4;
2025/03/01 10:00:00;A;;5,8;0,0;10,2;4,7
2025/03/01 10:00:01;P;;;;10,2;
2025/03/01 10:05:00;A;;4,5;;0,9;
2025/03/01 10:10:00;A;;;;3,9;
2025/03/01 10:15:00;A;;5,8;0,0;12,7;4,5
2025/03/01 10:15:01;P;;5,8;;12,7;
2025/03/01 10:20:00;A;;3,0;6,1;0,0;3,1
2025/03/01 10:25:00;A;;;2,5;;
2025/03/01 10:30:00;P;;2,8;2,8;0,0;3,2
2025/03/01 10:35:00;A;;;4,3;;
2025/03/01 10:45:00;A;;1,6;5,2;0,0;2,9
2025/03/01 10:45:01;P;;1,6;;;
2025/03/01 10:55:00;A;;;8,2;;
2025/03/01 11:00:00;A;;1,4;9,4;0,0;2,9
2025/03/01 11:00:01;P;;;9,4;;
2025/03/01 11:05:00;A;;;7,8;;
2025/03/01 11:10:00;A;;;10,4;;
2025/03/01 11:15:00;A;;0,4;12,4;0,0;1,9
2025/03/01 11:15:01;P;;0,4;12,4;;1,9
2025/03/01 11:30:00;A;;1,1;3,3;0,0;3,4
2025/03/01 11:30:01;P;;;3,3;;3,4
2025/03/01 11:35:00;A;;;10,9;;
2025/03/01 11:45:00;A;;-0,1;10,5;0,0;2,0
2025/03/01 11:45:01;P;;-0,1;;;2,0
2025/03/01 11:55:00;A;;;8,5;;3,1
2025/03/01 12:00:00;A;;0,2;12,3;0,0;2,0
2025/03/01 12:00:01;P;;;12,3;;2,0
2025/03/01 12:05:00;A;;;9,6;;3,1
2025/03/01 12:10:00;A;;;11,8;;
2025/03/01 12:15:00;P;;0,6;12,3;0,0;3,2
2025/03/01 12:20:00;A;;;8,8;;
2025/03/01 12:25:00;A;;;10,4;;
2025/03/01 12:30:00;A;;1,0;9,3;0,0;3,1
2025/03/01 12:30:01;P;;;9,3;;
2025/03/01 12:35:00;A;;;8,0;;
2025/03/01 12:40:00;A;;;9,3;;
2025/03/01 12:45:00;A;;0,4;15,1;0,0;2,9
2025/03/01 12:45:01;P;;;15,1;;
2025/03/01 12:50:00;A;;;9,9;;
2025/03/01 12:55:00;A;;;11,2;;
2025/03/01 13:00:00;A;;0,3;15,3;0,0;2,4
2025/03/01 13:00:01;P;;;15,3;;
2025/03/01 13:05:00;A;;;13,5;;
2025/03/01 13:10:00;A;;;14,8;;
2025/03/01 13:15:00;A;;0,2;12,8;0,0;2,3
2025/03/01 13:15:01;P;;;12,8;;
2025/03/01 13:20:00;A;;1,3;11,2;;3,7
2025/03/01 13:25:00;A;;;8,6;;
2025/03/01 13:30:00;A;;1,3;13,7;0,0;3,2
2025/03/01 13:30:01;P;;;13,7;;
2025/03/01 13:40:00;A;;;17,6;;
2025/03/01 13:45:00;A;;0,1;17,5;0,0;2,2
2025/03/01 13:45:01;P;;0,1;;;
2025/03/01 13:50:00;A;;;15,9;;
2025/03/01 13:55:00;A;;;14,7;;3,2
2025/03/01 14:00:00;A;;-0,1;18,4;0,0;1,3
2025/03/01 14:00:01;P;;;18,4;;1,3
2025/03/01 14:05:00;A;;;20,9;;
2025/03/01 14:10:00;A;;;23,7;;
2025/03/01 14:15:00;A;;0,1;26,3;0,0;0,9
2025/03/01 14:15:01;P;;;26,3;;
2025/03/01 14:30:00;A;;-0,1;28,9;0,0;0,6
2025/03/01 14:30:01;P;;;28,9;;
2025/03/01 14:35:00;A;;3,5;18,6;;3,8
2025/03/01 14:40:00;A;;;22,4;;
2025/03/01 14:45:00;A;;4,4;20,1;0,0;4,0
2025/03/01 14:45:01;P;;;20,1;;
2025/03/01 14:55:00;A;;;22,6;;
2025/03/01 15:00:00;A;;2,8;27,5;0,0;3,3
2025/03/01 15:00:01;P;;2,8;27,5;;
2025/03/01 15:05:00;A;;;28,7;;
2025/03/01 15:10:00;A;;1,1;;;
2025/03/01 15:15:00;A;;3,0;28,0;0,0;3,4
2025/03/01 15:15:01;P;;3,0;;;
2025/03/01 15:20:00;A;;1,5;25,1;;
2025/03/01 15:25:00;A;;;31,0;;
2025/03/01 15:30:00;A;;1,2;29,4;0,0;3,2
2025/03/01 15:30:01;P;;;29,4;;
2025/03/01 15:35:00;A;;-0,1;41,5;;-0,3
2025/03/01 15:40:00;A;;;38,6;;
2025/03/01 15:45:00;A;;0,0;41,6;0,0;-0,3
2025/03/01 15:45:01;P;;;41,6;;
2025/03/01 15:50:00;A;;;39,3;;
2025/03/01 15:55:00;A;;;43,5;;
2025/03/01 16:00:00;A;;0,1;42,0;0,0;-0,6
2025/03/01 16:00:01;P;;;42,0;;
2025/03/01 16:15:00;A;;0,1;34,8;0,0;0,3
2025/03/01 16:15:01;P;;;34,8;;
2025/03/01 16:20:00;A;;;38,1;;
2025/03/01 16:30:00;A;;0,1;41,0;0,0;-0,5
2025/03/01 16:30:01;P;;;41,0;;
2025/03/01 16:35:00;A;;;42,5;;
2025/03/01 16:40:00;A;;;36,6;;
2025/03/01 16:45:00;A;;-0,2;39,7;0,0;-0,1
2025/03/01 16:45:01;P;;;39,7;;
2025/03/01 16:50:00;A;;;35,5;;
2025/03/01 17:00:00;P;;0,0;34,5;0,0;0,6
2025/03/01 17:05:00;A;;;30,7;;
2025/03/01 17:10:00;A;;;28,6;;
2025/03/01 17:15:00;P;;0,1;27,7;0,0;1,5
2025/03/01 17:20:00;A;;;29,1;;
2025/03/01 17:30:00;A;;0,2;22,3;0,0;2,8
2025/03/01 17:30:01;P;;;22,3;;2,8
2025/03/01 17:35:00;A;;;20,8;;
2025/03/01 17:40:00;A;;;23,8;;
2025/03/01 17:45:00;A;;0,3;20,8;0,0;2,6
2025/03/01 17:45:01;P;;;20,8;;
2025/03/01 17:50:00;A;;;19,4;;
2025/03/01 17:55:00;A;;5,3;0,0;38,9;4,2
2025/03/01 18:00:00;A;;5,9;0,0;42,8;4,4
2025/03/01 18:00:01;P;;;;42,8;
2025/03/01 18:05:00;A;;4,0;;36,7;
