Date-time;Type;RTU IS150 - Ponte Druso - Pressione (bar);RTU IS150 - Ponte Druso - Portata (l/s)
2025/03/01 00:00:00;P;6,7;-5,2
2025/03/01 00:15:00;P;6,8;-5,2
2025/03/01 00:30:00;P;6,7;-5,7
2025/03/01 00:45:00;P;6,7;-6,3
2025/03/01 01:00:00;P;6,8;-4,8
2025/03/01 01:15:00;P;6,8;-5,5
2025/03/01 01:30:00;P;6,8;-6,5
2025/03/01 01:45:00;P;6,8;-6,9
2025/03/01 02:00:00;P;6,8;-7,2
2025/03/01 02:15:00;P;6,8;-8,1
2025/03/01 02:30:00;P;6,8;-7,9
2025/03/01 02:45:00;P;6,8;-7,7
2025/03/01 03:00:00;P;6,9;-8,5
2025/03/01 03:15:00;P;6,8;-7,9
2025/03/01 03:30:00;P;6,8;-8,0
2025/03/01 03:45:00;P;6,8;-7,8
2025/03/01 04:00:00;P;6,7;-9,4
2025/03/01 04:15:00;P;6,7;-7,7
2025/03/01 04:30:00;P;6,7;-8,0
2025/03/01 04:45:00;P;6,7;-7,7
2025/03/01 05:00:00;P;6,7;-7,8
2025/03/01 05:15:00;P;6,7;-5,6
2025/03/01 05:30:00;P;6,7;-6,1
2025/03/01 05:45:00;P;6,7;-6,2
2025/03/01 06:00:00;P;6,7;-6,8
2025/03/01 06:15:00;P;6,8;-4,5
2025/03/01 06:30:00;P;6,8;-4,2
2025/03/01 06:45:00;P;6,8;-3,3
2025/03/01 07:00:00;P;6,7;-1,4
2025/03/01 07:15:00;P;6,7;0,0
2025/03/01 07:30:00;P;6,6;1,5
2025/03/01 07:45:00;P;6,7;4,5
2025/03/01 08:00:00;P;6,6;4,8
2025/03/01 08:15:00;P;6,6;4,3
2025/03/01 08:30:00;P;6,6;2,7
2025/03/01 08:45:00;P;6,5;0,0
2025/03/01 09:00:00;P;6,6;0,5
2025/03/01 09:15:00;P;6,5;-2,0
2025/03/01 09:30:00;P;6,4;-0,8
2025/03/01 09:45:00;P;6,5;4,4
2025/03/01 10:00:00;P;6,6;2,9
2025/03/01 10:15:00;P;6,6;2,2
2025/03/01 10:30:00;P;6,6;9,7
2025/03/01 10:45:00;P;6,7;11,8
2025/03/01 11:00:00;P;6,7;13,2
2025/03/01 11:15:00;P;6,6;13,5
2025/03/01 11:30:00;P;6,7;10,0
2025/03/01 11:45:00;P;6,7;8,7
2025/03/01 12:00:00;P;6,6;10,9
2025/03/01 12:15:00;P;6,7;12,5
2025/03/01 12:30:00;P;6,6;10,8
2025/03/01 12:45:00;P;6,7;12,6
2025/03/01 13:00:00;P;6,6;13,7
2025/03/01 13:15:00;P;6,7;13,2
2025/03/01 13:30:00;P;6,7;13,8
2025/03/01 13:45:00;P;6,7;11,6
2025/03/01 14:00:00;P;6,7;9,4
2025/03/01 14:15:00;P;6,7;10,9
2025/03/01 14:30:00;P;6,7;8,8
2025/03/01 14:45:00;P;6,7;23,3
2025/03/01 15:00:00;P;6,7;21,6
2025/03/01 15:15:00;P;6,7;22,5
2025/03/01 15:30:00;P;6,7;21,6
2025/03/01 15:45:00;P;6,7;8,8
2025/03/01 16:00:00;P;6,8;7,0
2025/03/01 16:15:00;P;6,8;7,6
2025/03/01 16:30:00;P;6,8;7,3
2025/03/01 16:45:00;P;6,7;5,4
2025/03/01 17:00:00;P;6,7;8,3
2025/03/01 17:15:00;P;6,7;6,5
2025/03/01 17:30:00;P;6,7;8,9
2025/03/01 17:45:00;P;6,7;5,9
2025/03/01 18:00:00;P;6,6;5,4
2025/03/01 18:15:00;P;6,7;5,9
2025/03/01 18:30:00;P;6,6;7,9
2025/03/01 18:45:00;P;6,6;6,1
2025/03/01 19:00:00;P;6,6;8,0
2025/03/01 19:15:00;P;6,6;3,6
2025/03/01 19:30:00;P;6,6;6,5
2025/03/01 19:45:00;P;6,7;5,8
2025/03/01 20:00:00;P;6,6;6,6
2025/03/01 20:15:00;P;6,5;-2,3
2025/03/01 20:30:00;P;6,6;0,0
2025/03/01 20:45:00;P;6,7;6,2
2025/03/01 21:00:00;P;6,7;5,7
2025/03/01 21:15:00;P;6,5;-8,1
2025/03/01 21:30:00;P;6,5;-5,3
2025/03/01 21:45:00;P;6,6;-6,5
2025/03/01 22:00:00;P;6,6;-5,1
2025/03/01 22:15:00;P;6,6;-3,8
2025/03/01 22:30:00;P;6,6;-2,9
2025/03/01 22:45:00;P;6,6;-3,2
2025/03/01 23:00:00;P;6,6;-3,8
2025/03/01 23:15:00;P;6,6;-2,7
2025/03/01 23:30:00;P;6,7;-3,8
2025/03/01 23:45:00;P;6,7;-3,4
2025/03/02 00:00:00;P;6,7;-4,0
2025/03/02 00:15:00;P;6,7;-4,2
2025/03/02 00:30:00;P;6,7;-5,8
2025/03/02 00:45:00;P;6,8;-4,2
2025/03/02 01:00:00;P;6,8;-4,9
2025/03/02 01:15:00;P;6,8;-7,0
2025/03/02 01:30:00;P;6,8;-5,2
2025/03/02 01:45:00;P;6,8;-10,0
2025/03/02 02:00:00;P;6,7;-9,7
2025/03/02 02:15:00;P;6,7;-9,5
2025/03/02 02:30:00;P;6,8;-8,9
2025/03/02 02:45:00;P;6,7;-11,0
2025/03/02 03:00:00;P;6,7;-9,6
2025/03/02 03:15:00;P;6,7;-9,2
2025/03/02 03:30:00;P;6,7;-10,3
2025/03/02 03:45:00;P;6,7;-8,3
2025/03/02 04:00:00;P;6,7;-10,4
2025/03/02 04:15:00;P;6,7;-10,2
2025/03/02 04:30:00;P;6,7;-9,6
2025/03/02 04:45:00;P;6,7;-10,0
2025/03/02 05:00:00;P;6,7;-10,1
2025/03/02 05:15:00;P;6,7;-6,3
2025/03/02 05:30:00;P;6,8;-8,6
2025/03/02 05:45:00;P;6,7;-9,2
2025/03/02 06:00:00;P;6,8;-8,4
2025/03/02 06:15:00;P;6,9;-10,1
2025/03/02 06:30:00;P;6,8;-8,5
2025/03/02 06:45:00;P;6,8;-9,4
2025/03/02 07:00:00;P;6,8;-8,9
2025/03/02 07:15:00;P;6,7;-7,4
2025/03/02 07:30:00;P;6,6;-7,7
2025/03/02 07:45:00;P;6,5;-8,9
2025/03/02 08:00:00;P;6,5;-7,3
2025/03/02 08:15:00;P;6,5;-9,8
2025/03/02 08:30:00;P;6,5;0,0
2025/03/02 08:45:00;P;6,5;-3,7
2025/03/02 09:00:00;P;6,5;-4,0
2025/03/02 09:15:00;P;6,5;-3,4
2025/03/02 09:30:00;P;6,5;-3,2
2025/03/02 09:45:00;P;6,5;-3,7
2025/03/02 10:00:00;P;6,5;-3,1
2025/03/02 10:15:00;P;6,5;-3,4
2025/03/02 10:30:00;P;6,6;3,4
2025/03/02 10:45:00;P;6,6;7,5
2025/03/02 11:00:00;P;6,7;10,0
2025/03/02 11:15:00;P;6,6;8,6
2025/03/02 11:30:00;P;6,7;10,7
2025/03/02 11:45:00;P;6,7;10,1
2025/03/02 12:00:00;P;6,7;10,8
2025/03/02 12:15:00;P;6,7;9,8
2025/03/02 12:30:00;P;6,7;9,3
2025/03/02 12:45:00;P;6,7;5,6
2025/03/02 13:00:00;P;6,7;7,9
2025/03/02 13:15:00;P;6,7;6,2
2025/03/02 13:30:00;P;6,7;8,5
2025/03/02 13:45:00;P;6,7;6,5
2025/03/02 14:00:00;P;6,7;6,3
2025/03/02 14:15:00;P;6,7;5,0
2025/03/02 14:30:00;P;6,8;5,3
2025/03/02 14:45:00;P;6,7;19,2
2025/03/02 15:00:00;P;6,7;19,2
2025/03/02 15:15:00;P;6,7;20,0
2025/03/02 15:30:00;P;6,7;18,5
2025/03/02 15:45:00;P;6,8;7,3
2025/03/02 16:00:00;P;6,8;5,1
2025/03/02 16:15:00;P;6,8;3,8
2025/03/02 16:30:00;P;6,8;4,6
2025/03/02 16:45:00;P;6,7;2,9
2025/03/02 17:00:00;P;6,7;3,9
2025/03/02 17:15:00;P;6,7;4,0
2025/03/02 17:30:00;P;6,6;7,7
2025/03/02 17:45:00;P;6,6;6,8
2025/03/02 18:00:00;P;6,6;7,1
2025/03/02 18:15:00;P;6,6;3,8
2025/03/02 18:30:00;P;6,6;4,9
2025/03/02 18:45:00;P;6,6;3,7
2025/03/02 19:00:00;P;6,6;1,2
2025/03/02 19:15:00;P;6,6;3,2
2025/03/02 19:30:00;P;6,6;6,3
2025/03/02 19:45:00;P;6,6;5,5
2025/03/02 20:00:00;P;6,6;5,1
2025/03/02 20:15:00;P;6,6;7,1
2025/03/02 20:30:00;P;6,6;3,7
2025/03/02 20:45:00;P;6,6;6,6
2025/03/02 21:00:00;P;6,7;5,9
2025/03/02 21:15:00;P;6,5;-10,2
2025/03/02 21:30:00;P;6,5;-8,0
2025/03/02 21:45:00;P;6,5;-8,4
2025/03/02 22:00:00;P;6,5;-7,0
2025/03/02 22:15:00;P;6,5;-5,8
2025/03/02 22:30:00;P;6,6;-4,5
2025/03/02 22:45:00;P;6,6;-4,1
2025/03/02 23:00:00;P;6,6;-2,9
2025/03/02 23:15:00;P;6,6;-2,3
2025/03/02 23:30:00;P;6,7;-4,4
2025/03/02 23:45:00;P;6,7;-5,0
2025/03/03 00:00:00;P;6,7;-5,4
2025/03/03 00:15:00;P;6,8;-5,4
2025/03/03 00:30:00;P;6,8;-4,7
2025/03/03 00:45:00;P;6,8;-6,0
2025/03/03 01:00:00;P;6,8;-7,1
2025/03/03 01:15:00;P;6,8;-7,2
2025/03/03 01:30:00;P;6,8;-8,6
2025/03/03 01:45:00;P;6,8;-7,5
2025/03/03 02:00:00;P;6,8;-7,9
2025/03/03 02:15:00;P;6,9;-7,9
2025/03/03 02:30:00;P;6,8;-7,8
2025/03/03 02:45:00;P;6,8;-8,7
2025/03/03 03:00:00;P;6,8;-8,5
2025/03/03 03:15:00;P;6,8;-7,8
2025/03/03 03:30:00;P;6,8;-8,3
2025/03/03 03:45:00;P;6,8;-6,4
2025/03/03 04:00:00;P;6,8;-7,3
2025/03/03 04:15:00;P;6,8;-7,1
2025/03/03 04:30:00;P;6,8;-7,2
2025/03/03 04:45:00;P;6,7;-7,0
2025/03/03 05:00:00;P;6,8;-6,1
2025/03/03 05:15:00;P;6,7;-6,5
2025/03/03 05:30:00;P;6,7;-5,9
2025/03/03 05:45:00;P;6,7;-5,0
2025/03/03 06:00:00;P;6,6;-4,4
2025/03/03 06:15:00;P;6,7;-3,0
2025/03/03 06:30:00;P;6,7;-1,1
2025/03/03 06:45:00;P;6,6;-3,6
2025/03/03 07:00:00;P;6,5;-5,6
2025/03/03 07:15:00;P;6,6;4,9
2025/03/03 07:30:00;P;6,6;0,0
2025/03/03 07:45:00;P;6,5;1,7
2025/03/03 08:00:00;P;6,5;1,0
2025/03/03 08:15:00;P;6,5;4,0
2025/03/03 08:30:00;P;6,6;8,2
2025/03/03 08:45:00;P;6,6;14,0
2025/03/03 09:00:00;P;6,6;11,8
2025/03/03 09:15:00;P;6,7;14,1
2025/03/03 09:30:00;P;6,6;11,0
2025/03/03 09:45:00;P;6,6;12,7
2025/03/03 10:00:00;P;6,7;14,5
2025/03/03 10:15:00;P;6,7;14,4
2025/03/03 10:30:00;P;6,6;15,0
2025/03/03 10:45:00;P;6,7;11,3
2025/03/03 11:00:00;P;6,7;15,9
2025/03/03 11:15:00;P;6,7;14,4
2025/03/03 11:30:00;P;6,7;12,6
2025/03/03 11:45:00;P;6,7;14,4
2025/03/03 12:00:00;P;6,7;13,5
2025/03/03 12:15:00;P;6,7;15,3
2025/03/03 12:30:00;P;6,7;13,6
2025/03/03 12:45:00;P;6,7;12,4
2025/03/03 13:00:00;P;6,7;13,9
2025/03/03 13:15:00;P;6,7;12,5
2025/03/03 13:30:00;P;6,7;12,5
2025/03/03 13:45:00;P;6,7;11,1
2025/03/03 14:00:00;P;6,6;12,5
2025/03/03 14:15:00;P;6,7;15,0
2025/03/03 14:30:00;P;6,7;11,8
2025/03/03 14:45:00;P;6,7;24,4
2025/03/03 15:00:00;P;6,5;21,1
2025/03/03 15:15:00;P;6,5;14,9
2025/03/03 15:30:00;P;6,5;13,5
2025/03/03 15:45:00;P;6,6;-5,6
2025/03/03 16:00:00;P;6,6;-4,6
2025/03/03 16:15:00;P;6,6;-0,7
2025/03/03 16:30:00;P;6,6;-2,1
2025/03/03 16:45:00;P;6,6;-2,5
2025/03/03 17:00:00;P;6,5;-4,3
2025/03/03 17:15:00;P;6,6;-5,4
2025/03/03 17:30:00;P;6,5;-7,6
2025/03/03 17:45:00;P;6,5;-6,1
2025/03/03 18:00:00;P;6,5;-6,2
2025/03/03 18:15:00;P;6,5;-6,2
2025/03/03 18:30:00;P;6,5;-6,4
2025/03/03 18:45:00;P;6,6;1,2
2025/03/03 19:00:00;P;6,6;4,7
2025/03/03 19:15:00;P;6,7;17,4
2025/03/03 19:30:00;P;6,7;14,8
2025/03/03 19:45:00;P;6,7;14,4
2025/03/03 20:00:00;P;6,7;13,5
2025/03/03 20:15:00;P;6,7;7,2
2025/03/03 20:30:00;P;6,6;7,0
2025/03/03 20:45:00;P;6,6;11,0
2025/03/03 21:00:00;P;6,7;9,3
2025/03/03 21:15:00;P;6,6;9,2
2025/03/03 21:30:00;P;6,7;7,8
2025/03/03 21:45:00;P;6,7;8,0
2025/03/03 22:00:00;P;6,8;5,7
2025/03/03 22:15:00;P;6,7;6,8
2025/03/03 22:30:00;P;6,8;5,4
2025/03/03 22:45:00;P;6,8;2,4
2025/03/03 23:00:00;P;6,7;0,7
2025/03/03 23:15:00;P;6,8;-0,6
2025/03/03 23:30:00;P;6,8;-3,4
2025/03/03 23:45:00;P;6,8;-1,4
2025/03/04 00:00:00;P;6,8;-2,9
2025/03/04 00:15:00;P;6,8;-3,5
2025/03/04 00:30:00;P;6,8;-5,7
2025/03/04 00:45:00;P;6,7;-10,8
2025/03/04 01:00:00;P;6,7;-11,0
2025/03/04 01:15:00;P;6,7;-10,6
2025/03/04 01:30:00;P;6,7;-10,6
2025/03/04 01:45:00;P;6,7;-11,2
2025/03/04 02:00:00;P;6,7;-11,7
2025/03/04 02:15:00;P;6,7;-11,3
2025/03/04 02:30:00;P;6,6;-12,3
2025/03/04 02:45:00;P;6,7;-11,7
2025/03/04 03:00:00;P;6,6;-12,3
2025/03/04 03:15:00;P;6,6;-11,6
2025/03/04 03:30:00;P;6,6;-11,2
2025/03/04 03:45:00;P;6,6;-10,3
2025/03/04 04:00:00;P;6,6;-12,1
2025/03/04 04:15:00;P;6,7;-8,9
2025/03/04 04:30:00;P;6,6;-8,5
2025/03/04 04:45:00;P;6,6;-7,9
2025/03/04 05:00:00;P;6,7;-7,3
2025/03/04 05:15:00;P;6,7;-7,5
2025/03/04 05:30:00;P;6,6;-7,5
2025/03/04 05:45:00;P;6,7;-6,3
2025/03/04 06:00:00;P;6,6;-6,6
2025/03/04 06:15:00;P;6,7;-5,9
2025/03/04 06:30:00;P;6,7;-3,8
2025/03/04 06:45:00;P;6,6;-6,1
2025/03/04 07:00:00;P;6,6;-9,3
2025/03/04 07:15:00;P;6,5;-11,6
2025/03/04 07:30:00;P;6,7;8,4
2025/03/04 07:45:00;P;6,6;6,7
2025/03/04 08:00:00;P;6,6;8,7
2025/03/04 08:15:00;P;6,6;12,3
2025/03/04 08:30:00;P;6,7;10,4
2025/03/04 08:45:00;P;6,6;12,4
2025/03/04 09:00:00;P;6,5;2,2
2025/03/04 09:15:00;P;6,5;1,1
2025/03/04 09:30:00;P;6,5;1,6
2025/03/04 09:45:00;P;6,5;1,8
2025/03/04 10:00:00;P;6,6;-1,7
2025/03/04 10:15:00;P;6,7;-0,9
2025/03/04 10:30:00;P;6,6;0,0
2025/03/04 10:45:00;P;6,7;2,3
2025/03/04 11:00:00;P;6,6;4,8
2025/03/04 11:15:00;P;6,6;2,0
2025/03/04 11:30:00;P;6,7;1,6
2025/03/04 11:45:00;P;6,6;0,8
2025/03/04 12:00:00;P;6,6;1,1
2025/03/04 12:15:00;P;6,6;0,0
2025/03/04 12:30:00;P;6,6;0,9
2025/03/04 12:45:00;P;6,6;1,2
2025/03/04 13:00:00;P;6,7;-1,7
2025/03/04 13:15:00;P;6,6;5,0
2025/03/04 13:30:00;P;6,6;4,8
2025/03/04 13:45:00;P;6,6;6,1
2025/03/04 14:00:00;P;6,6;5,8
2025/03/04 14:15:00;P;6,6;3,8
2025/03/04 14:30:00;P;6,6;4,1
2025/03/04 14:45:00;P;6,7;7,7
2025/03/04 15:00:00;P;6,7;7,2
2025/03/04 15:15:00;P;6,7;6,7
2025/03/04 15:30:00;P;6,7;3,3
2025/03/04 15:45:00;P;6,7;1,8
2025/03/04 16:00:00;P;6,7;3,9
2025/03/04 16:15:00;P;6,7;3,8
2025/03/04 16:30:00;P;6,8;6,5
2025/03/04 16:45:00;P;6,8;8,3
2025/03/04 17:00:00;P;6,7;9,4
2025/03/04 17:15:00;P;6,7;10,6
2025/03/04 17:30:00;P;6,7;11,5
2025/03/04 17:45:00;P;6,7;11,5
2025/03/04 18:00:00;P;6,7;13,2
2025/03/04 18:15:00;P;6,7;9,7
2025/03/04 18:30:00;P;6,7;11,5
2025/03/04 18:45:00;P;6,6;7,6
2025/03/04 19:00:00;P;6,7;8,3
2025/03/04 19:15:00;P;6,6;8,7
2025/03/04 19:30:00;P;6,6;6,8
2025/03/04 19:45:00;P;6,7;11,0
2025/03/04 20:00:00;P;6,7;12,1
2025/03/04 20:15:00;P;6,5;5,2
2025/03/04 20:30:00;P;6,6;9,2
2025/03/04 20:45:00;P;6,6;5,6
2025/03/04 21:00:00;P;6,6;6,7
2025/03/04 21:15:00;P;6,5;-8,3
2025/03/04 21:30:00;P;6,5;-8,6
2025/03/04 21:45:00;P;6,5;-6,6
2025/03/04 22:00:00;P;6,6;-4,6
2025/03/04 22:15:00;P;6,6;-4,2
2025/03/04 22:30:00;P;6,6;-4,7
2025/03/04 22:45:00;P;6,6;-2,4
2025/03/04 23:00:00;P;6,6;-5,0
2025/03/04 23:15:00;P;6,6;-2,4
2025/03/04 23:30:00;P;6,7;-3,3
2025/03/04 23:45:00;P;6,7;-3,2
2025/03/05 00:00:00;P;6,7;-4,4
2025/03/05 00:15:00;P;6,8;-4,5
2025/03/05 00:30:00;P;6,8;-4,6
2025/03/05 00:45:00;P;6,8;-7,2
2025/03/05 01:00:00;P;6,8;-6,2
2025/03/05 01:15:00;P;6,8;-6,0
2025/03/05 01:30:00;P;6,8;-7,3
2025/03/05 01:45:00;P;6,8;-6,6
2025/03/05 02:00:00;P;6,8;-6,7
2025/03/05 02:15:00;P;6,8;-6,6
2025/03/05 02:30:00;P;6,8;-7,6
2025/03/05 02:45:00;P;6,8;-7,2
2025/03/05 03:00:00;P;6,8;-7,8
