;;;;;;T:/acquedotto/modello_idraulico/Misure_portate_pressioni/svolgimento/dati;;;;;T:/acquedotto/modello_idraulico/calibrazione/iwws_live_data;;;
n;date_type;row1;sep;dir_in;type_inp;file_in;file_out;tipo_org;tipo_mis;udm;descri;note;file_corretto;note_correz
1;ITA;1;TAB;serbatoi;mean_3_4;POLLER000000723_20231017_0000_20231103_2400_CEP.csv;cal01_SER003_0723_28774_cep_liv;serbatoio;level;m;SER003 - C.E.P. - Misura livello vasca destra (m);serbatoio modellato con un'unica depth-volume curve - livello per le due vasche sembra comparabile;;
2;; ;;;x;POLLER000000723_20231017_0000_20231103_2400_CEP.csv;;;;;SER003 - C.E.P. - Misura livello vasca sinistra (m);serbatoio modellato con un'unica depth-volume curve - livello per le due vasche sembra comparabile;;
3;ITA;1;TAB;serbatoi;2q_5_6;POLLER000000723_20231017_0000_20231103_2400_CEP.csv;cal03_SER003_0723_28784_cep_q;meter;flow;l/s;SER003 - C.E.P. - Portata ingresso vasca (l/s);stessa condotta/ stesso meter? Unificare le due serie uscita/ingresso in caso e aggiungere elemento meter in geometria;;
4; ; ; ; ;x;POLLER000000723_20231017_0000_20231103_2400_CEP.csv;;;;;SER003 - C.E.P. - Portata uscita vasca (l/s);stessa condotta/ stesso meter? Unificare le due serie uscita/ingresso in caso e aggiungere elemento meter in geometria;;
5;ITA;1;TAB;serbatoi;mean_2_3;POLLER000000729_20231017_0000_20231103_2400_Flavon.csv;cal05_SER004_0729_28774_flavon_liv;serbatoio;level;m;SER004 - Flavon - Misura livello vasca destra (m);serbatoio modellato con un'unica depth-volume curve;;
6;;;;;x;POLLER000000729_20231017_0000_20231103_2400_Flavon.csv;;;;;SER004 - Flavon - Misura livello vasca sinistra (m);serbatoio modellato con un'unica depth-volume curve;;
7;ITA;1;TAB;serbatoi;2q_4_5;POLLER000000729_20231017_0000_20231103_2400_Flavon.csv;cal07_SER004_0729_28784_flavon_q;meter;flow;l/s;SER004 - Flavon - Portata ingresso vasca (l/s);stessa condotta/ stesso meter? Unificare le due colonne in caso e aggiungere elemento in geometria;;
8;;;;;x;POLLER000000729_20231017_0000_20231103_2400_Flavon.csv;;;;;SER004 - Flavon - Portata uscita vasca (l/s);stessa condotta/ stesso meter? Unificare le due colonne in caso e aggiungere elemento in geometria;;
9;STD;1;semicolon;serbatoi;mean_3_4;POLLER000000747_20231017_0000_20231103_2400_S.Giorgio.csv;cal09_SER007_0747_28774_s_giorgio_liv;serbatoio;level;m;SER007 - San Giorgio - Misura livello vasca destra (m);;inp_pide_s_giorgio.csv;
